,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
2010-04-30,1011.0,1015.4,,,,14.7,20.7,7.4,56,44,4.8,11.6,202.5,21.6,180.0,4.9,,,,
2010-05-01,1001.8,1006.1,0.0,0.0,0.0,15.2,20.0,10.4,71,58,5.7,11.8,202.5,23.1,180.0,0.0,,,,
2010-05-02,1014.6,1019.0,0.0,0.0,0.0,11.1,14.5,8.7,40,16,3.0,6.8,45.0,11.1,67.5,6.5,,,,
2010-05-03,1022.7,1027.2,0.0,0.0,0.0,8.8,10.9,7.0,55,42,2.3,4.4,45.0,6.8,22.5,1.2,,,,
2010-05-04,1013.8,1018.2,16.0,5.5,3.0,9.4,12.1,7.2,83,68,2.0,3.9,315.0,6.0,0.0,0.0,,,,
2010-05-05,1008.3,1012.6,,0.0,,14.8,19.1,11.2,72,42,3.0,7.3,180.0,11.3,157.5,8.0,,,,
2010-05-06,1008.8,1013.2,2.5,1.5,1.0,11.6,16.3,7.7,71,48,2.9,5.1,67.5,8.7,67.5,0.0,,,,
2010-05-07,1020.1,1024.6,0.0,0.0,0.0,8.9,13.1,6.1,43,29,3.1,6.2,157.5,10.5,157.5,11.4,,,,
2010-05-08,1023.4,1027.9,,,,11.1,14.6,6.9,51,38,2.7,6.1,180.0,9.1,157.5,4.9,,,,
2010-05-09,1014.7,1019.0,0.0,0.0,0.0,15.6,20.2,11.3,62,50,3.0,6.7,135.0,10.0,157.5,6.9,,,,
2010-05-10,1011.9,1016.2,,,,17.2,23.2,14.1,62,36,2.5,7.8,67.5,15.5,67.5,3.7,,,,
2010-05-11,1015.9,1020.3,30.5,5.5,2.0,8.6,14.3,6.2,72,37,3.8,6.6,45.0,14.4,22.5,0.0,,,,
2010-05-12,1000.8,1005.1,6.5,5.5,2.0,15.1,20.0,6.8,73,56,3.2,6.3,337.5,11.3,202.5,7.1,,,,
2010-05-13,1007.9,1012.3,0.0,0.0,0.0,13.9,17.4,10.9,36,24,3.6,7.7,337.5,14.9,0.0,5.5,,,,
2010-05-14,1017.2,1021.7,8.0,2.5,0.5,6.9,11.2,5.5,70,32,2.4,4.9,337.5,8.5,22.5,0.0,,,,
2010-05-15,1021.3,1025.9,9.5,2.5,1.0,5.2,7.4,2.3,68,36,3.6,6.5,22.5,12.0,22.5,0.0,,,,
2010-05-16,1017.1,1021.6,22.0,5.0,1.5,6.3,11.5,1.4,73,58,3.3,5.7,315.0,10.9,337.5,4.2,,0.0,,
2010-05-17,1021.7,1026.2,,,,12.0,16.5,6.0,55,26,2.4,4.8,180.0,8.6,180.0,10.0,,,,
2010-05-18,1020.3,1024.7,,,,15.2,20.0,9.6,55,33,2.8,6.1,157.5,9.6,157.5,7.9,,,,
2010-05-19,1012.7,1017.1,6.5,2.5,0.5,15.6,18.1,13.3,71,52,3.0,7.1,202.5,12.7,225.0,0.0,,,,
2010-05-20,1008.3,1012.5,0.5,0.5,0.5,18.8,25.5,13.9,62,33,2.7,6.5,112.5,12.2,112.5,7.2,,,,
2010-05-21,1010.2,1014.6,22.0,6.5,2.0,9.1,14.2,7.0,70,44,3.4,5.8,337.5,10.1,22.5,0.0,,,,
2010-05-22,1004.5,1009.0,3.0,1.0,0.5,8.2,10.1,6.9,82,76,1.9,4.1,22.5,7.4,45.0,0.0,,,,
2010-05-23,1012.4,1016.8,0.0,0.0,0.0,11.2,16.7,7.2,54,17,2.6,7.4,315.0,12.1,315.0,5.8,,,,
2010-05-24,1019.8,1024.2,,,,12.7,16.7,7.5,44,23,3.0,6.2,180.0,10.6,180.0,12.2,,,,
2010-05-25,1022.2,1026.6,,,,14.4,19.9,9.2,42,15,3.3,8.2,135.0,12.5,135.0,10.9,,,,
2010-05-26,1020.8,1025.2,8.0,1.5,1.0,12.7,15.7,10.3,65,54,2.4,7.1,157.5,13.8,157.5,0.1,,,,
2010-05-27,1010.2,1014.6,79.0,27.0,8.5,14.1,15.4,12.5,86,78,2.8,5.6,315.0,9.5,90.0,0.0,,,,
2010-05-28,1005.0,1009.3,0.0,0.0,0.0,18.2,23.4,12.9,56,22,5.2,10.4,202.5,19.2,225.0,10.4,,,,
2010-05-29,1007.2,1011.5,,,,15.2,20.0,10.9,48,27,2.9,5.5,45.0,10.9,67.5,11.1,,,,
