,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
2011-04-30,1017.1,1021.5,,,,11.2,15.7,6.6,42,25,3.5,7.1,180.0,13.1,202.5,11.8,,,,
2011-05-01,1008.9,1013.3,,,,13.4,18.4,9.1,43,24,2.2,7.0,315.0,13.1,315.0,3.4,,,,
2011-05-02,1012.8,1017.3,0.0,0.0,0.0,7.9,9.9,6.9,39,22,3.3,7.3,337.5,14.1,337.5,0.0,,,,
2011-05-03,1016.2,1020.7,,,,9.0,13.9,5.9,35,9,3.2,6.7,337.5,12.1,337.5,10.8,,,,
2011-05-04,1020.3,1024.8,,,,10.1,15.4,4.3,28,14,2.3,4.5,225.0,8.6,202.5,12.0,,,,
2011-05-05,1021.3,1025.7,,,,13.7,19.1,7.7,35,15,3.0,5.7,157.5,9.4,202.5,12.0,,,,
2011-05-06,1019.6,1024.0,,,,15.7,20.6,10.3,46,28,4.1,8.2,180.0,15.4,202.5,5.3,,,,
2011-05-07,1014.2,1018.5,0.0,0.0,0.0,17.2,18.7,15.5,50,40,7.1,10.9,180.0,19.6,202.5,1.6,,,,
2011-05-08,1012.1,1016.5,0.5,0.5,0.5,16.1,18.0,12.3,74,55,4.9,8.8,180.0,16.1,202.5,0.0,,,,
2011-05-09,1011.9,1016.2,,0.0,,13.7,17.7,10.3,57,34,3.1,5.6,135.0,8.7,135.0,5.4,,,,
2011-05-10,1004.1,1008.5,12.0,5.5,1.5,13.7,19.3,8.6,64,41,2.8,7.2,315.0,11.4,315.0,5.9,,,,
2011-05-11,1010.0,1014.4,0.5,0.5,0.5,11.4,15.7,7.6,29,12,4.7,10.3,315.0,17.4,315.0,11.7,,,,
2011-05-12,1009.5,1013.8,,,,14.3,20.5,7.1,39,20,3.1,5.9,135.0,9.3,180.0,11.9,,,,
2011-05-13,1007.5,1011.8,,,,16.7,22.1,11.1,41,16,2.6,5.7,157.5,9.0,157.5,12.0,,,,
2011-05-14,1004.0,1008.3,,,,18.4,22.5,13.7,51,32,5.4,10.1,180.0,17.9,202.5,8.1,,,,
2011-05-15,1000.7,1004.9,0.0,0.0,0.0,18.6,24.6,12.9,53,26,4.7,8.4,180.0,14.0,202.5,6.7,,,,
2011-05-16,1007.8,1012.2,,,,13.6,17.6,9.6,41,27,3.4,6.6,337.5,10.8,337.5,9.3,,,,
2011-05-17,1003.0,1007.3,0.0,0.0,0.0,14.9,17.4,12.5,55,41,2.9,5.5,157.5,9.6,157.5,1.1,,,,
2011-05-18,997.2,1001.6,23.0,8.5,2.0,10.8,18.1,7.3,72,48,3.3,8.0,292.5,13.9,337.5,2.9,,,,
2011-05-19,1007.9,1012.3,0.0,0.0,0.0,10.9,16.7,6.5,53,37,2.6,7.0,135.0,11.3,135.0,8.1,,,,
2011-05-20,1017.2,1021.7,0.0,0.0,0.0,12.4,16.2,8.8,65,52,2.5,5.3,157.5,8.0,180.0,2.1,,,,
2011-05-21,1014.0,1018.3,0.0,0.0,0.0,15.5,18.8,11.4,64,46,3.1,6.7,180.0,11.4,180.0,1.4,,,,
2011-05-22,1003.8,1008.1,54.0,12.5,6.0,16.5,17.9,14.8,81,70,5.7,10.5,180.0,20.1,180.0,0.3,,,,
2011-05-23,999.9,1004.2,0.0,0.5,0.0,16.1,20.0,11.4,47,28,3.8,7.7,202.5,16.5,292.5,11.9,,,,
2011-05-24,1004.4,1008.7,0.0,0.0,0.0,15.0,20.1,10.9,48,21,2.5,7.9,180.0,17.3,292.5,8.3,,,,
2011-05-25,1008.1,1012.4,,,,16.2,21.0,11.3,41,28,3.2,8.2,225.0,15.6,225.0,9.6,,,,
2011-05-26,1001.1,1005.4,2.0,1.5,0.5,20.1,24.4,14.9,62,45,7.2,12.5,202.5,21.0,202.5,8.2,,,,
2011-05-27,993.5,997.7,4.0,2.5,1.5,19.8,24.8,14.3,49,26,5.1,8.7,180.0,15.8,202.5,7.8,,,,
2011-05-28,1007.6,1011.9,0.0,0.0,0.0,15.1,19.1,12.0,48,31,3.0,5.7,157.5,8.9,0.0,7.6,,,,
2011-05-29,1012.1,1016.4,,,,17.6,22.2,12.3,54,30,4.3,10.2,202.5,20.4,202.5,6.8,,,,
