,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
2012-03-31,1014.8,1019.3,,,,8.2,12.4,3.3,76,58,2.4,4.7,315.0,8.2,315.0,3.1,,0.0,,
2012-04-01,1011.1,1015.6,10.0,2.5,0.5,7.3,10.4,4.0,85,69,2.5,5.3,337.5,9.5,337.5,0.0,,,,
2012-04-02,1016.6,1021.1,0.5,0.5,0.5,7.1,11.6,3.8,65,43,2.9,5.3,337.5,9.4,337.5,6.4,,,,
2012-04-03,1024.8,1029.4,0.5,0.5,0.5,5.5,6.6,3.5,64,51,2.7,3.9,45.0,7.9,22.5,0.0,,,,
2012-04-04,1011.3,1015.8,37.0,5.5,1.5,5.7,10.1,2.5,91,87,3.0,5.7,337.5,10.3,315.0,0.0,,,,
2012-04-05,999.6,1003.9,3.0,2.0,1.0,11.4,15.1,8.0,87,76,1.9,5.4,315.0,8.6,315.0,4.2,,,,
2012-04-06,1006.8,1011.2,,0.0,,12.6,15.7,11.0,72,44,2.4,5.7,135.0,10.7,90.0,0.3,,,,
2012-04-07,1012.4,1016.8,0.0,0.0,0.0,9.6,11.1,7.9,66,52,2.8,4.9,22.5,9.7,45.0,0.0,,,,
2012-04-08,1011.6,1016.1,26.5,2.5,0.5,7.3,9.7,5.3,89,75,2.9,5.4,337.5,10.5,337.5,0.0,,,,
2012-04-09,1008.6,1013.1,19.5,3.0,1.0,5.3,7.6,2.0,83,70,3.3,6.2,337.5,12.2,337.5,0.1,,,,
2012-04-10,1005.3,1009.7,0.0,0.0,0.0,7.4,11.1,4.1,69,48,2.7,5.9,157.5,9.5,157.5,4.9,,,,
2012-04-11,1005.3,1009.8,,,,7.2,12.6,2.9,37,14,3.7,7.3,337.5,15.0,292.5,7.4,,,,
2012-04-12,1015.4,1019.9,,,,6.8,10.7,3.4,34,15,4.1,7.2,315.0,14.6,315.0,10.6,,,,
2012-04-13,1018.7,1023.2,,,,7.2,10.4,3.2,51,33,2.3,4.8,157.5,7.4,157.5,9.3,,,,
2012-04-14,1016.7,1021.2,,,,7.9,13.6,3.6,45,20,4.1,9.7,292.5,16.5,315.0,11.2,,,,
2012-04-15,1022.2,1026.7,,,,7.7,11.1,3.3,42,22,3.1,5.7,157.5,9.6,135.0,9.2,,,,
2012-04-16,1010.6,1015.1,24.0,4.0,1.0,6.8,10.3,4.6,84,59,2.0,3.7,315.0,6.3,292.5,0.0,,,,
2012-04-17,1001.0,1005.4,1.0,0.5,0.5,9.6,11.8,6.5,89,78,1.6,3.5,337.5,6.7,112.5,0.0,,,,
2012-04-18,1005.8,1010.3,,,,9.1,12.2,6.4,40,19,4.0,8.8,337.5,17.6,337.5,6.5,,,,
2012-04-19,1006.7,1011.2,0.0,0.0,0.0,8.2,12.1,4.2,39,23,2.6,6.7,337.5,12.0,292.5,8.7,,,,
2012-04-20,1011.1,1015.6,,,,8.1,11.6,4.9,27,15,4.7,9.0,337.5,16.4,337.5,10.2,,,,
2012-04-21,1011.6,1016.0,,,,10.1,14.8,4.2,38,28,1.6,3.6,292.5,4.9,292.5,3.5,,,,
2012-04-22,1006.9,1011.3,11.0,2.0,0.5,9.9,12.2,7.8,70,44,1.9,4.7,315.0,9.5,315.0,0.0,,,,
2012-04-23,992.3,996.7,3.5,1.5,0.5,8.4,11.6,5.9,79,39,1.8,4.5,337.5,8.1,0.0,1.8,,,,
2012-04-24,1000.6,1005.0,0.0,0.0,0.0,9.1,13.8,5.1,45,24,2.4,5.7,315.0,11.9,337.5,8.1,,,,
2012-04-25,1009.9,1014.4,0.0,0.0,0.0,8.2,12.1,4.6,31,18,2.8,8.2,315.0,14.5,315.0,7.2,,,,
2012-04-26,1016.0,1020.4,,,,9.6,14.0,4.4,40,18,3.3,7.5,180.0,10.8,202.5,11.9,,,,
2012-04-27,1013.8,1018.2,0.0,0.0,0.0,11.2,17.1,5.9,47,23,3.3,9.4,315.0,19.4,315.0,8.8,,,,
2012-04-28,1020.4,1024.9,,,,11.7,16.3,7.0,37,18,3.8,7.0,180.0,12.1,315.0,11.9,,,,
2012-04-29,1014.9,1019.3,,,,15.3,19.4,11.6,52,37,5.6,9.9,180.0,18.3,202.5,3.7,,,,
2012-04-30,1000.7,1005.0,8.0,5.0,1.5,14.1,18.9,8.4,60,37,7.6,14.2,180.0,28.5,157.5,0.7,,,,
