,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day6-18_x,WeaCon-night18-n6_x
2004-06-30,1013.4,1017.6,13.0,4.5,2.0,18.0,19.6,16.5,77,65,4.0,7.2,67.5,12.4,90.0,0.9,,,,
2004-07-01,1015.4,1019.6,,,,20.5,25.3,16.3,49,20,2.8,5.4,202.5,9.9,112.5,9.7,,,,
2004-07-02,1015.7,1019.9,,,,21.3,24.8,17.9,34,16,3.6,6.6,45.0,11.2,22.5,8.6,,,,
2004-07-03,1014.7,1018.9,,,,22.3,28.0,17.0,38,17,2.7,5.6,225.0,11.8,180.0,13.6,,,,
2004-07-04,1011.9,1016.1,,,,23.0,27.7,18.7,57,34,3.6,6.3,202.5,13.0,180.0,13.3,,,,
2004-07-05,1010.2,1014.4,12.5,3.5,1.0,21.8,23.1,20.0,82,69,2.2,4.6,22.5,7.7,45.0,0.3,,,,
2004-07-06,1004.1,1008.3,14.5,4.0,2.0,23.4,27.0,20.2,82,70,2.7,6.2,225.0,14.3,202.5,1.6,,,,
2004-07-07,1002.0,1006.1,0.5,0.5,0.5,22.9,29.1,16.4,75,59,4.3,7.9,45.0,13.4,112.5,1.2,,,,
2004-07-08,1007.8,1012.0,5.0,2.0,1.0,18.4,20.9,16.3,79,71,3.0,5.4,45.0,10.5,0.0,,,,,
2004-07-09,1009.1,1013.3,0.0,0.5,0.5,22.6,26.1,17.9,77,64,1.6,4.8,0.0,8.6,315.0,,,,,
2004-07-10,1013.0,1017.2,20.5,6.5,3.0,20.7,24.7,16.5,77,49,3.6,7.0,67.5,11.6,67.5,,,,,
2004-07-11,1004.9,1009.0,0.5,2.0,0.5,22.7,28.3,16.9,75,56,2.4,5.4,0.0,10.3,202.5,2.2,,,,
2004-07-12,1007.9,1012.1,12.0,10.0,2.5,20.7,23.5,18.6,72,55,2.9,5.7,0.0,11.1,22.5,3.3,,,,
2004-07-13,1010.4,1014.6,,,,22.5,26.8,17.9,51,30,2.8,6.0,225.0,11.3,225.0,13.6,,,,
2004-07-14,1009.9,1014.0,,,,25.0,30.2,19.3,49,26,2.9,6.3,225.0,12.9,225.0,13.2,,,,
2004-07-15,1013.8,1018.0,,,,21.1,25.7,17.5,53,35,3.9,7.1,67.5,11.4,135.0,12.5,,,,
2004-07-16,1013.6,1017.7,,,,22.1,26.5,18.2,66,53,2.8,5.7,225.0,12.4,202.5,3.8,,,,
2004-07-17,1009.9,1014.0,,,,25.4,30.1,22.6,59,39,4.5,7.6,225.0,16.0,247.5,8.9,,,,
2004-07-18,1008.7,1012.8,,,,25.7,28.9,23.3,58,39,5.4,7.4,180.0,16.1,247.5,11.0,,,,
2004-07-19,1005.1,1009.2,0.0,0.0,0.0,27.1,30.8,24.9,70,55,6.7,9.9,225.0,21.9,225.0,7.4,,,,
2004-07-20,998.9,1002.9,16.0,9.0,4.5,25.9,28.1,24.4,79,66,5.7,11.6,202.5,25.4,180.0,,,,,
2004-07-21,995.2,999.2,0.0,0.0,0.0,28.0,32.3,24.9,59,40,5.5,11.0,225.0,25.8,225.0,13.4,,,,
2004-07-22,1001.0,1005.1,,,,28.0,32.0,24.7,55,40,2.7,6.4,180.0,12.7,202.5,7.7,,,,
2004-07-23,1001.6,1005.7,,,,27.9,32.3,24.5,62,46,2.8,5.8,180.0,12.1,225.0,8.4,,,,
2004-07-24,998.8,1002.9,8.5,3.0,1.0,25.9,27.1,24.1,78,69,5.3,7.9,225.0,18.1,247.5,,,,,
2004-07-25,999.2,1003.2,0.5,1.0,0.5,26.4,31.7,21.8,72,55,3.3,7.5,225.0,14.2,202.5,2.9,,,,
2004-07-26,1005.0,1009.1,0.0,0.0,0.0,23.3,25.7,20.4,71,63,2.4,4.2,90.0,7.7,90.0,,,,,
2004-07-27,1002.7,1006.7,0.0,0.0,0.0,25.9,29.7,22.9,74,62,2.2,5.2,180.0,11.9,157.5,2.4,,,,
2004-07-28,1000.8,1004.9,,,,27.4,31.5,24.1,68,52,4.0,8.9,225.0,18.9,247.5,6.5,,,,
2004-07-29,1001.4,1005.4,9.0,3.0,1.0,25.8,28.4,22.9,75,60,4.8,7.9,225.0,17.6,247.5,4.2,,,,
