month,maxTemp,minTemp,meanTemp,rainfall
1,34.4,20.7,,7.7
2,36.2,23.8,,10.8
3,36.0,25.5,,37.0
4,34.4,25.4,,93.9
5,33.0,24.7,,128.8
6,31.1,23.7,,217.2
7,29.7,23.2,,210.9
8,29.4,22.9,,227.6
9,30.4,22.9,,252.3
10,32.0,23.1,,142.7
11,33.7,22.9,,22.2
12,33.6,20.9,,7.6
