month,maxTemp,minTemp,meanTemp,rainfall
1,13.8,0.6,,25.9
2,15.8,2.6,,34.5
3,20.3,6.7,,44.2
4,25.2,11.1,,41.7
5,29.2,16.3,,80.8
6,32.5,20.3,,90.4
7,34.6,22.2,,47.5
8,34.4,22.0,,65.8
9,30.4,17.9,,56.9
10,25.2,12.4,,75.7
11,19.1,6.1,,35.8
12,13.8,0.9,,31.2
