month,maxTemp,minTemp,meanTemp,rainfall
1,29.6,20.3,,14.8
2,30.7,21.5,,47.7
3,32.2,23.0,,0.0
4,34.0,25.8,,37.3
5,36.8,26.9,,29.7
6,36.6,26.4,,79.6
7,35.6,26.0,,61.0
8,34.5,25.1,,148.2
9,34.0,24.8,,149.6
10,32.0,24.0,,278.3
11,30.4,22.9,,379.5
12,29.1,21.4,,502.3
