,Precipitation,Temperature
January,43.6,1.2
February,48.9,1.3
March,54.2,0.3
April,44.8,-1.5
May,42.5,-3.0
June,49.2,-5.2
July,47.3,-5.8
August,51.4,-5.6
September,57.0,-4.3
October,61.2,-2.7
November,42.5,-1.2
December,31.9,0.1
