,Precipitation,Temperature
January,5.2,-5.4
February,6.1,-4.2
March,13.2,0.7
April,30.0,4.5
May,44.8,9.5
June,48.4,13.6
July,22.6,18.3
August,22.1,17.4
September,23.2,12.6
October,18.2,5.7
November,9.3,-1.2
December,6.7,-6.1
