,Precipitation,Temperature
January,64.7,-3.2
February,54.0,-2.6
March,63.3,1.8
April,76.0,8.2
May,72.7,14.9
June,85.5,19.8
July,90.5,22.4
August,84.0,21.5
September,80.7,17.6
October,81.7,11.2
November,70.2,5.3
December,67.9,0.0
