,Precipitation,Temperature
January,17.1,-1.8
February,21.9,0.4
March,38.8,6.4
April,64.3,11.7
May,110.3,17.5
June,97.2,23.6
July,105.4,26.0
August,88.7,24.7
September,71.1,20.3
October,50.3,13.1
November,29.6,5.6
December,26.4,-0.3
