,Precipitation,Temperature
January,1.1,-14.3
February,1.4,-11.3
March,2.6,-4.7
April,5.3,3.6
May,15.4,10.0
June,37.2,15.4
July,84.5,17.5
August,60.7,15.7
September,17.2,10.2
October,4.8,2.2
November,2.5,-6.5
December,1.3,-12.4
