,Precipitation,Temperature
January,25.6,-18.2
February,19.7,-15.2
March,25.3,-5.9
April,37.2,1.8
May,54.1,9.0
June,73.8,14.9
July,78.1,17.6
August,77.9,14.0
September,67.7,8.2
October,38.2,1.4
November,32.5,-9.2
December,22.9,-15.5
