,Precipitation,Temperature
January,9.8,-38.8
February,8.2,-35.3
March,8.5,-23.7
April,13.8,-9.6
May,25.7,1.9
June,42.4,12.5
July,48.4,15.5
August,53.0,11.0
September,31.5,2.6
October,25.3,-10.5
November,16.1,-29.2
December,10.7,-37.7
