month,maxTemp,minTemp,meanTemp,rainfall
1,20.9,9.7,,3.0
2,24.3,12.1,,6.3
3,28.1,15.7,,13.0
4,30.4,17.7,,33.9
5,28.2,17.9,,169.7
6,25.7,18.0,,188.8
7,25.7,18.0,,180.6
8,24.6,17.6,,287.4
9,24.3,16.9,,318.8
10,24.0,15.6,,202.6
11,21.7,12.6,,57.3
12,20.0,9.6,,9.6
