,Precipitation,Temperature
January,38.7,-5.2
February,36.4,-4.7
March,34.6,0.0
April,37.3,7.6
May,65.2,13.6
June,76.3,17.1
July,85.9,19.0
August,56.4,17.8
September,58.6,12.3
October,63.8,6.3
November,46.4,0.6
December,42.9,-3.6
