,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2001-07-27 01:00:00,1006.9,1010.4,,22.8,16.6,18.9,68,3.7,45.0,,,,,,,
2001-07-27 02:00:00,1006.8,1010.3,,22.5,16.5,18.8,69,2.8,22.5,,,,,,,
2001-07-27 03:00:00,1007.0,1010.5,,22.4,16.7,19.0,70,3.2,22.5,,,,,,,
2001-07-27 04:00:00,1007.2,1010.7,,21.9,16.6,18.9,72,2.2,22.5,,,,,,,
2001-07-27 05:00:00,1007.7,1011.2,,21.8,16.8,19.1,73,2.5,22.5,,0.01,,,,,
2001-07-27 06:00:00,1007.9,1011.4,,22.8,17.0,19.4,70,4.0,22.5,0.9,0.37,,,,,
2001-07-27 07:00:00,1008.1,1011.6,,23.9,17.4,19.9,67,3.7,22.5,1.0,0.98,,,,,
2001-07-27 08:00:00,1008.1,1011.6,,24.9,17.4,19.9,63,4.7,45.0,0.7,1.6,,,,,
2001-07-27 09:00:00,1008.0,1011.5,,25.5,17.4,19.9,61,4.1,22.5,0.4,1.88,,,,10.0,30.0
2001-07-27 10:00:00,1008.0,1011.5,,26.0,16.3,18.5,55,5.1,67.5,0.4,1.87,,,,,
2001-07-27 11:00:00,1007.6,1011.1,,26.5,15.9,18.1,52,4.6,45.0,0.8,3.14,,,,,
2001-07-27 12:00:00,1007.6,1011.1,,26.1,15.5,17.6,52,4.7,67.5,,1.81,,,,,
2001-07-27 13:00:00,1006.9,1010.4,,26.9,15.0,17.0,48,4.3,67.5,0.2,1.84,,,,,
2001-07-27 14:00:00,1006.6,1010.1,,27.7,15.0,17.0,46,4.7,67.5,0.8,2.72,,,,,
2001-07-27 15:00:00,1006.5,1010.0,,26.9,15.3,17.4,49,4.3,67.5,1.0,2.68,,,,6.0,30.0
2001-07-27 16:00:00,1007.0,1010.5,,25.2,15.5,17.6,55,5.7,67.5,0.3,1.17,,,,,
2001-07-27 17:00:00,1007.2,1010.7,,24.1,14.5,16.5,55,4.2,67.5,,0.58,,,,,
2001-07-27 18:00:00,1007.6,1011.1,,23.4,14.4,16.4,57,4.6,45.0,,0.17,,,,,
2001-07-27 19:00:00,1008.0,1011.5,,22.5,14.9,16.9,62,3.6,45.0,,0.01,,,,,
2001-07-27 20:00:00,1008.7,1012.2,,21.1,15.2,17.3,69,3.0,45.0,,0.0,,,,,
2001-07-27 21:00:00,1009.3,1012.9,,21.0,14.6,16.6,67,2.7,22.5,,,,,,,
2001-07-27 22:00:00,1009.2,1012.7,,21.1,14.3,16.3,65,3.6,22.5,,,,,,,
2001-07-27 23:00:00,1009.2,1012.8,,20.8,14.0,16.0,65,3.7,0.0,,,,,,,
2001-07-28 00:00:00,1008.8,1012.4,,20.6,14.5,16.5,68,2.9,22.5,,,,,,,
