,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1999-07-16 01:00:00,998.2,1001.7,,22.8,20.9,24.7,89,2.0,112.5,,,,,,,
1999-07-16 02:00:00,998.3,1001.8,,22.1,20.9,24.7,93,1.2,90.0,,,,,,,
1999-07-16 03:00:00,998.5,1002.0,,22.3,21.5,25.6,95,1.5,135.0,,,,,,,
1999-07-16 04:00:00,998.8,1002.3,,22.0,21.2,25.2,95,1.6,157.5,,,,,,,
1999-07-16 05:00:00,999.4,1002.9,,23.2,22.2,26.8,94,1.3,180.0,,0.01,,,,,
1999-07-16 06:00:00,1000.2,1003.7,,23.7,22.5,27.2,93,1.3,157.5,,0.08,,,,,
1999-07-16 07:00:00,1000.8,1004.3,,24.6,22.7,27.6,89,1.4,180.0,,0.27,,,,,
1999-07-16 08:00:00,1001.0,1004.5,,26.3,23.0,28.1,82,1.4,157.5,0.1,0.84,,,,,
1999-07-16 09:00:00,1001.0,1004.4,0.0,27.7,22.2,26.8,72,1.9,157.5,0.8,2.11,,,,9.0,8.0
1999-07-16 10:00:00,1001.0,1004.4,,28.8,23.0,28.1,71,2.4,180.0,0.6,2.34,,,,,
1999-07-16 11:00:00,1001.1,1004.5,,29.6,22.3,26.9,65,2.7,202.5,0.7,2.44,,,,,
1999-07-16 12:00:00,1000.8,1004.2,,31.2,21.9,26.3,58,4.0,202.5,0.9,3.11,,,,,
1999-07-16 13:00:00,1000.6,1004.0,,31.7,21.2,25.2,54,4.6,180.0,1.0,3.23,,,,,
1999-07-16 14:00:00,1000.5,1003.9,,32.3,21.2,25.2,52,5.1,202.5,1.0,3.03,,,,,
1999-07-16 15:00:00,1000.5,1003.9,,31.2,22.5,27.2,60,4.4,202.5,0.6,2.09,,,,10.0,20.0
1999-07-16 16:00:00,1000.5,1003.9,0.0,30.4,22.8,27.8,64,3.6,202.5,0.1,0.83,,,,,
1999-07-16 17:00:00,1000.7,1004.1,,29.6,23.1,28.3,68,3.0,180.0,0.6,0.98,,,,,
1999-07-16 18:00:00,1001.0,1004.4,,29.4,23.6,29.1,71,2.7,180.0,0.2,0.45,,,,,
1999-07-16 19:00:00,1001.4,1004.8,,27.4,24.3,30.4,83,3.2,135.0,,0.11,,,,,
1999-07-16 20:00:00,1001.8,1005.3,,26.3,24.0,29.8,87,2.8,135.0,,0.0,,,,,
1999-07-16 21:00:00,1002.2,1005.7,,25.7,23.7,29.3,89,3.0,135.0,,,,,,,
1999-07-16 22:00:00,1002.6,1006.1,,25.2,23.6,29.1,91,2.2,157.5,,,,,,,
1999-07-16 23:00:00,1002.8,1006.3,,24.8,23.4,28.8,92,2.2,135.0,,,,,,,
1999-07-17 00:00:00,1002.9,1006.4,,24.4,23.2,28.4,93,2.1,135.0,,,,,,,
