,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1996-04-19 01:00:00,1006.4,1010.1,,9.6,-4.0,4.5,38,5.7,270.0,,,,,,,
1996-04-19 02:00:00,1006.3,1010.0,,8.3,-3.4,4.8,43,3.9,292.5,,,,,,,
1996-04-19 03:00:00,1006.9,1010.6,,8.4,-4.6,4.3,39,3.7,270.0,,,,,,,
1996-04-19 04:00:00,1007.1,1010.8,,8.2,-4.6,4.3,40,3.0,270.0,,,,,,,
1996-04-19 05:00:00,1006.6,1010.3,,9.6,-5.5,4.1,34,4.8,270.0,,0.0,,,,,
1996-04-19 06:00:00,1007.1,1010.8,,10.2,-4.8,4.3,34,4.0,270.0,0.3,0.17,,,,,
1996-04-19 07:00:00,1007.2,1010.9,,11.4,-4.3,4.4,33,3.2,292.5,0.8,0.68,,,,,
1996-04-19 08:00:00,1007.7,1011.4,,12.5,-3.2,4.8,33,4.5,270.0,0.1,0.88,,,,,
1996-04-19 09:00:00,1008.2,1011.9,,12.2,-3.8,4.6,32,2.9,292.5,,0.8,,,,10.0,15.0
1996-04-19 10:00:00,1008.1,1011.8,,13.2,-2.9,4.9,33,3.1,270.0,,0.89,,,,,
1996-04-19 11:00:00,1008.4,1012.0,,13.9,-3.6,4.7,29,2.9,270.0,,0.98,,,,,
1996-04-19 12:00:00,1008.1,1011.7,,14.3,-3.9,4.6,28,4.0,270.0,,1.07,,,,,
1996-04-19 13:00:00,1007.6,1011.2,,14.7,-3.2,4.8,29,1.9,247.5,,0.77,,,,,
1996-04-19 14:00:00,1007.6,1011.2,,14.7,-2.5,5.1,30,2.4,225.0,,0.73,,,,,
1996-04-19 15:00:00,1006.9,1010.5,,14.7,-2.9,4.9,29,3.1,202.5,,0.77,,,,10.0,12.0
1996-04-19 16:00:00,1007.7,1011.3,,14.5,-2.2,5.2,32,4.3,202.5,,0.49,,,,,
1996-04-19 17:00:00,1007.8,1011.4,,13.8,0.8,6.5,41,2.3,180.0,,0.23,,,,,
1996-04-19 18:00:00,1007.5,1011.2,,13.2,0.1,6.2,41,3.2,157.5,,0.07,,,,,
1996-04-19 19:00:00,1007.7,1011.4,,12.3,6.3,9.5,67,3.5,157.5,,0.0,,,,,
1996-04-19 20:00:00,1008.7,1012.4,,11.5,8.1,10.8,80,1.9,202.5,,,,,,,
1996-04-19 21:00:00,1008.5,1012.2,0.0,10.9,8.2,10.9,83,2.5,202.5,,,,,,,
1996-04-19 22:00:00,1008.7,1012.4,0.5,10.1,8.7,11.2,91,1.6,157.5,,,,,,,
1996-04-19 23:00:00,1007.9,1011.6,0.5,8.9,6.8,9.9,87,1.9,112.5,,,,,,,
1996-04-20 00:00:00,1007.3,1011.0,0.5,8.4,7.7,10.5,95,1.1,67.5,,,,,,,
