,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1998-07-14 01:00:00,1009.2,1012.8,,16.2,14.0,16.0,87,2.3,45.0,,,,,,,
1998-07-14 02:00:00,1008.9,1012.5,,16.1,14.3,16.3,89,2.2,67.5,,,,,,,
1998-07-14 03:00:00,1009.0,1012.6,,16.0,14.2,16.2,89,2.2,45.0,,,,,,,
1998-07-14 04:00:00,1009.1,1012.7,,15.9,14.3,16.3,90,2.3,45.0,,,,,,,
1998-07-14 05:00:00,1009.5,1013.1,,15.9,14.3,16.3,90,2.0,22.5,,0.0,,,,,
1998-07-14 06:00:00,1009.9,1013.5,,16.5,14.7,16.7,89,1.9,45.0,,0.15,,,,,
1998-07-14 07:00:00,1010.2,1013.8,,17.0,14.6,16.6,86,1.7,45.0,,0.45,,,,,
1998-07-14 08:00:00,1010.2,1013.8,,18.1,15.2,17.3,83,1.9,67.5,,0.96,,,,,
1998-07-14 09:00:00,1010.1,1013.7,,19.3,15.2,17.3,77,1.8,67.5,0.3,1.93,,,,10.0,15.0
1998-07-14 10:00:00,1009.8,1013.4,,21.2,15.5,17.6,70,0.9,202.5,0.4,2.28,,,,,
1998-07-14 11:00:00,1009.4,1012.9,,21.9,16.2,18.4,70,1.7,112.5,0.5,2.46,,,,,
1998-07-14 12:00:00,1009.5,1013.0,,22.0,16.3,18.5,70,2.4,45.0,,1.72,,,,,
1998-07-14 13:00:00,1008.9,1012.4,,22.9,16.7,19.0,68,2.4,90.0,0.3,2.16,,,,,
1998-07-14 14:00:00,1008.6,1012.1,,23.5,15.8,17.9,62,2.8,112.5,0.8,2.95,,,,,
1998-07-14 15:00:00,1008.3,1011.8,,23.5,16.1,18.3,63,3.0,90.0,1.0,2.71,,,,7.0,18.0
1998-07-14 16:00:00,1008.3,1011.8,,22.2,16.2,18.4,69,3.7,112.5,1.0,1.98,,,,,
1998-07-14 17:00:00,1008.5,1012.0,,21.0,16.6,18.9,76,3.6,90.0,1.0,1.25,,,,,
1998-07-14 18:00:00,1009.2,1012.8,,19.7,16.2,18.4,80,3.6,90.0,0.5,0.52,,,,,
1998-07-14 19:00:00,1009.5,1013.1,,18.7,15.6,17.7,82,2.8,90.0,,0.08,,,,,
1998-07-14 20:00:00,1009.9,1013.5,,18.2,15.5,17.6,84,2.8,90.0,,0.0,,,,,
1998-07-14 21:00:00,1010.2,1013.8,,18.4,15.7,17.8,84,3.0,90.0,,,,,,,
1998-07-14 22:00:00,1010.1,1013.7,,17.8,15.3,17.4,85,2.4,67.5,,,,,,,
1998-07-14 23:00:00,1009.7,1013.3,,17.6,15.4,17.5,87,2.2,67.5,,,,,,,
1998-07-15 00:00:00,1009.5,1013.1,,17.2,15.2,17.3,88,2.2,45.0,,,,,,,
