,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2017-12-27 01:00:00,1002.2,1005.6,,0.3,-6.3,3.8,61,1.2,247.5,,,,,,,20.0
2017-12-27 02:00:00,1002.5,1005.9,,1.5,-6.5,3.7,55,2.6,315.0,,,,,,,20.0
2017-12-27 03:00:00,1002.7,1006.1,,1.9,-7.2,3.6,51,2.2,292.5,,,,,,,20.0
2017-12-27 04:00:00,1002.7,1006.1,,2.1,-8.0,3.3,47,2.7,292.5,,,,,,,20.0
2017-12-27 05:00:00,1003.3,1006.7,,0.9,-7.6,3.5,53,1.7,247.5,,,,,,,20.0
2017-12-27 06:00:00,1003.8,1007.2,,0.5,-7.3,3.5,56,2.5,270.0,,,,,,,20.0
2017-12-27 07:00:00,1004.5,1007.9,,-0.8,-6.9,3.6,63,1.9,247.5,0.0,0.01,,,,,20.0
2017-12-27 08:00:00,1004.8,1008.2,,2.1,-6.0,3.9,55,2.0,247.5,1.0,0.31,,,,,20.0
2017-12-27 09:00:00,1005.1,1008.5,,3.6,-5.3,4.1,52,2.8,247.5,1.0,0.9,,,,,20.0
2017-12-27 10:00:00,1005.1,1008.5,,6.1,-7.5,3.5,37,5.6,270.0,1.0,1.43,,,,,20.0
2017-12-27 11:00:00,1004.4,1007.7,,6.9,-9.0,3.1,31,6.9,270.0,1.0,1.79,,,,,20.0
2017-12-27 12:00:00,1004.0,1007.3,,7.3,-7.9,3.4,33,5.8,315.0,0.9,1.95,,,,,20.0
2017-12-27 13:00:00,1004.1,1007.4,,7.6,-8.9,3.1,30,5.4,292.5,1.0,1.69,,,,,20.0
2017-12-27 14:00:00,1004.6,1008.0,,6.5,-10.7,2.7,28,5.4,315.0,1.0,1.54,,,,,20.0
2017-12-27 15:00:00,1005.0,1008.4,,6.2,-10.5,2.7,29,6.3,315.0,1.0,1.1,,,,,20.0
2017-12-27 16:00:00,1006.3,1009.7,,4.5,-9.6,2.9,35,4.5,292.5,1.0,0.51,,,,,20.0
2017-12-27 17:00:00,1006.9,1010.3,,3.5,-9.1,3.1,39,4.1,315.0,0.4,0.05,,,,,20.0
2017-12-27 18:00:00,1007.7,1011.1,,2.8,-8.2,3.3,44,3.8,292.5,,0.0,,,,,20.0
2017-12-27 19:00:00,1008.8,1012.2,,2.5,-7.9,3.4,46,4.2,292.5,,,,,,,20.0
2017-12-27 20:00:00,1009.3,1012.7,,1.4,-7.1,3.6,53,2.4,270.0,,,,,,,20.0
2017-12-27 21:00:00,1009.8,1013.2,,0.3,-7.2,3.6,57,2.0,270.0,,,,,,,20.0
2017-12-27 22:00:00,1010.2,1013.7,,-0.2,-6.6,3.7,62,2.2,247.5,,,,,,,20.0
2017-12-27 23:00:00,1010.5,1014.0,,-0.4,-6.4,3.8,64,2.4,247.5,,,,,,,20.0
2017-12-28 00:00:00,1011.0,1014.5,,-0.5,-6.7,3.7,63,2.3,270.0,,,,,,,20.0
