,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2007-06-16 01:00:00,1001.9,1005.6,,15.7,15.1,17.2,96,2.8,292.5,,,,,,,
2007-06-16 02:00:00,1002.0,1005.7,,15.3,13.5,15.5,89,2.4,292.5,,,,,,,
2007-06-16 03:00:00,1002.4,1006.1,,15.9,13.0,15.0,83,2.8,247.5,,,,,,,
2007-06-16 04:00:00,1002.8,1006.5,,14.8,12.3,14.3,85,0.7,225.0,,0.0,,,,,
2007-06-16 05:00:00,1003.4,1007.1,,14.5,11.6,13.7,83,1.6,202.5,0.4,0.06,,,,,
2007-06-16 06:00:00,1003.9,1007.5,,21.3,9.9,12.2,48,4.6,337.5,1.0,0.55,,,,,
2007-06-16 07:00:00,1004.5,1008.1,,22.2,12.5,14.5,54,2.5,292.5,1.0,1.28,,,,,
2007-06-16 08:00:00,1004.7,1008.3,,23.8,11.5,13.6,46,2.8,315.0,1.0,2.0,,,,,
2007-06-16 09:00:00,1004.4,1007.9,,25.0,12.3,14.3,45,3.5,292.5,1.0,2.65,,,,0.0,40.0
2007-06-16 10:00:00,1004.4,1007.9,,25.8,10.8,12.9,39,4.0,315.0,1.0,3.14,,,,,
2007-06-16 11:00:00,1004.4,1007.9,,27.1,10.3,12.5,35,3.4,337.5,1.0,3.46,,,,,
2007-06-16 12:00:00,1003.9,1007.4,,27.8,10.5,12.7,34,3.6,292.5,1.0,3.6,,,,,
2007-06-16 13:00:00,1003.9,1007.4,,28.2,9.5,11.9,31,3.5,337.5,1.0,3.5,,,,,
2007-06-16 14:00:00,1003.7,1007.2,,29.0,8.1,10.8,27,3.6,315.0,1.0,3.24,,,,,
2007-06-16 15:00:00,1003.8,1007.3,,29.2,6.0,9.4,23,4.5,0.0,1.0,2.82,,,,0.0,40.0
2007-06-16 16:00:00,1004.6,1008.1,,25.5,12.4,14.4,44,5.1,112.5,1.0,2.21,,,,,
2007-06-16 17:00:00,1005.5,1009.1,,24.3,12.3,14.3,47,4.3,90.0,1.0,1.47,,,,,
2007-06-16 18:00:00,1006.9,1010.5,,22.8,13.0,15.0,54,3.3,67.5,1.0,0.73,,,,,
2007-06-16 19:00:00,1008.5,1012.1,,19.5,13.9,15.9,70,3.9,90.0,0.6,0.15,,,,,
2007-06-16 20:00:00,1009.5,1013.1,,18.4,14.5,16.5,78,2.9,90.0,,0.0,,,,,
2007-06-16 21:00:00,1010.4,1014.1,,17.9,14.6,16.6,81,2.6,112.5,,,,,,,
2007-06-16 22:00:00,1010.8,1014.5,,16.9,14.4,16.4,85,1.8,157.5,,,,,,,
2007-06-16 23:00:00,1011.2,1014.9,,15.1,14.0,16.0,93,1.1,202.5,,,,,,,
2007-06-17 00:00:00,1011.0,1014.7,,16.1,14.6,16.6,91,2.1,112.5,,,,,,,
