,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1994-07-06 01:00:00,1001.0,1004.5,,24.4,22.3,26.9,88,0.1,,,,,,,,
1994-07-06 02:00:00,1001.0,1004.5,,25.4,22.2,26.8,82,1.6,67.5,,,,,,,
1994-07-06 03:00:00,1001.3,1004.8,,24.5,22.0,26.4,86,2.0,135.0,,,,,,,
1994-07-06 04:00:00,1001.8,1005.3,,26.3,22.5,27.2,80,1.8,67.5,,0.0,,,,,
1994-07-06 05:00:00,1002.1,1005.6,,25.7,22.3,26.9,82,2.5,45.0,,0.02,,,,,
1994-07-06 06:00:00,1002.6,1006.1,,25.9,21.8,26.1,78,2.5,67.5,0.2,0.29,,,,,
1994-07-06 07:00:00,1003.4,1006.9,,25.7,21.2,25.2,76,3.0,67.5,0.2,0.5,,,,,
1994-07-06 08:00:00,1003.4,1006.8,,27.4,21.3,25.3,69,4.2,67.5,0.7,1.46,,,,,
1994-07-06 09:00:00,1003.9,1007.3,,28.4,21.8,26.1,68,4.7,90.0,0.8,2.17,,,,7.0,15.0
1994-07-06 10:00:00,1004.1,1007.5,,28.5,22.7,27.6,71,4.0,90.0,0.4,1.95,,,,,
1994-07-06 11:00:00,1004.1,1007.5,,29.1,22.2,26.8,66,4.5,90.0,1.0,3.19,,,,,
1994-07-06 12:00:00,1003.8,1007.2,,29.2,22.5,27.2,67,4.6,112.5,1.0,3.4,,,,,
1994-07-06 13:00:00,1003.7,1007.1,,29.5,22.6,27.4,66,4.2,112.5,1.0,3.37,,,,,
1994-07-06 14:00:00,1003.9,1007.3,,29.7,22.2,26.8,64,4.6,90.0,1.0,3.09,,,,,
1994-07-06 15:00:00,1003.8,1007.2,,28.6,21.8,26.1,67,4.8,90.0,1.0,2.84,,,,3.0,20.0
1994-07-06 16:00:00,1003.9,1007.3,,27.3,21.6,25.8,71,4.9,112.5,1.0,1.93,,,,,
1994-07-06 17:00:00,1004.3,1007.8,,25.7,21.2,25.2,76,4.7,90.0,0.9,1.19,,,,,
1994-07-06 18:00:00,1004.8,1008.3,,23.9,20.9,24.7,83,4.2,90.0,0.1,0.38,,,,,
1994-07-06 19:00:00,1005.6,1009.1,,23.2,20.7,24.4,86,3.4,90.0,,0.12,,,,,
1994-07-06 20:00:00,1006.2,1009.7,,22.6,20.8,24.6,90,3.6,67.5,,0.0,,,,,
1994-07-06 21:00:00,1006.6,1010.1,,22.0,20.5,24.1,91,3.8,90.0,,,,,,,
1994-07-06 22:00:00,1006.8,1010.3,,21.9,20.4,24.0,91,3.1,67.5,,,,,,,
1994-07-06 23:00:00,1007.0,1010.5,,21.9,20.4,24.0,91,3.6,90.0,,,,,,,
1994-07-07 00:00:00,1007.4,1010.9,,21.1,19.9,23.2,93,2.6,45.0,,,,,,,
