,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2003-03-14 01:00:00,1025.1,1029.0,,-1.1,-3.8,4.6,82,1.6,292.5,,,,,,,
2003-03-14 02:00:00,1024.9,1028.8,,-2.5,-4.4,4.4,87,1.5,292.5,,,,,,,
2003-03-14 03:00:00,1024.9,1028.8,,-2.5,-3.9,4.6,90,2.1,315.0,,,,,,,
2003-03-14 04:00:00,1025.1,1029.0,,-2.7,-4.0,4.5,91,1.4,315.0,,,,,,,
2003-03-14 05:00:00,1025.3,1029.2,,-2.6,-3.9,4.6,91,1.5,67.5,,,,,,,
2003-03-14 06:00:00,1025.6,1029.6,,-3.6,-4.7,4.3,92,1.4,90.0,,0.0,,,,,
2003-03-14 07:00:00,1025.6,1029.5,,1.0,-3.1,4.9,74,1.4,67.5,0.5,0.22,,,,,
2003-03-14 08:00:00,1026.2,1030.1,,3.2,-2.9,4.9,64,1.2,45.0,1.0,0.8,,,,,
2003-03-14 09:00:00,1026.3,1030.1,,5.1,-2.0,5.3,60,1.3,90.0,1.0,1.47,,,,10.0,25.0
2003-03-14 10:00:00,1025.7,1029.5,,6.6,-1.5,5.5,56,1.5,90.0,0.9,1.65,,,,,
2003-03-14 11:00:00,1024.6,1028.4,,7.5,-2.2,5.2,50,1.6,112.5,1.0,2.53,,,,,
2003-03-14 12:00:00,1023.5,1027.3,,9.2,-2.4,5.1,44,1.3,315.0,1.0,2.73,,,,,
2003-03-14 13:00:00,1022.2,1026.0,,9.9,-2.7,5.0,41,2.6,112.5,1.0,2.63,,,,,
2003-03-14 14:00:00,1021.8,1025.6,,9.6,-2.7,5.0,42,3.2,112.5,1.0,2.31,,,,,
2003-03-14 15:00:00,1021.2,1025.0,,9.7,-1.4,5.5,46,4.5,90.0,1.0,1.71,,,,10.0,20.0
2003-03-14 16:00:00,1021.2,1025.0,,9.0,-1.4,5.5,48,3.9,112.5,0.9,1.05,,,,,
2003-03-14 17:00:00,1021.2,1025.0,,8.0,-1.8,5.4,50,3.7,135.0,0.2,0.51,,,,,
2003-03-14 18:00:00,1020.9,1024.7,,6.8,0.0,6.1,62,2.6,135.0,,0.07,,,,,
2003-03-14 19:00:00,1021.4,1025.2,,5.7,0.5,6.3,69,1.9,112.5,,0.0,,,,,
2003-03-14 20:00:00,1021.8,1025.6,,3.9,-0.5,5.9,73,1.4,90.0,,,,,,,
2003-03-14 21:00:00,1021.6,1025.4,,4.5,0.1,6.2,73,2.2,67.5,,,,,,,
2003-03-14 22:00:00,1021.4,1025.2,,4.0,-0.2,6.0,74,1.9,67.5,,,,,,,
2003-03-14 23:00:00,1020.8,1024.6,,4.9,0.1,6.2,71,1.9,45.0,,,,,,,
2003-03-15 00:00:00,1020.1,1023.9,,4.8,0.4,6.3,73,2.7,45.0,,,,,,,
