,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2014-06-10 01:00:00,1010.2,1013.4,1.0,19.3,18.8,21.7,97,1.3,135.0,,,-999,-999,,,
2014-06-10 02:00:00,1010.0,1013.2,0.0,19.2,18.9,21.8,98,1.4,22.5,,,-999,-999,,,
2014-06-10 03:00:00,1010.2,1013.4,0.0,19.2,18.9,21.8,98,1.1,45.0,,,-999,-999,,,
2014-06-10 04:00:00,1010.3,1013.5,0.0,19.2,18.9,21.8,98,1.0,112.5,,0.0,-999,-999,,,
2014-06-10 05:00:00,1010.7,1013.9,,19.4,19.1,22.1,98,1.3,135.0,0.0,0.03,-999,-999,,,
2014-06-10 06:00:00,1010.6,1013.8,,19.3,19.0,21.9,98,1.9,45.0,0.0,0.29,-999,-999,,,
2014-06-10 07:00:00,1010.9,1014.1,,19.8,19.3,22.4,97,1.8,67.5,0.0,0.56,-999,-999,,,
2014-06-10 08:00:00,1011.1,1014.3,,21.3,19.6,22.8,90,1.2,135.0,0.0,1.07,-999,-999,,,
2014-06-10 09:00:00,1010.8,1014.0,,22.1,19.1,22.1,83,1.2,90.0,0.1,1.42,-999,-999,,10.0,8.0
2014-06-10 10:00:00,1010.9,1014.1,,23.6,19.3,22.4,77,1.8,112.5,0.2,1.83,-999,-999,,,
2014-06-10 11:00:00,1010.6,1013.8,,24.0,19.1,22.1,74,0.9,270.0,0.4,2.2,-999,-999,,,
2014-06-10 12:00:00,1010.4,1013.5,,25.1,19.7,23.0,72,1.5,112.5,0.5,2.4,-999,-999,,,
2014-06-10 13:00:00,1009.9,1013.0,,25.9,19.3,22.4,67,2.0,90.0,0.2,1.73,-999,-999,,,
2014-06-10 14:00:00,1009.6,1012.7,,25.5,19.4,22.5,69,2.3,90.0,1.0,2.75,-999,-999,,,
2014-06-10 15:00:00,1008.8,1011.9,,24.9,19.5,22.7,72,3.7,90.0,1.0,2.19,-999,-999,,,
2014-06-10 16:00:00,1008.6,1011.7,,23.9,19.6,22.8,77,3.6,90.0,1.0,1.62,-999,-999,,,
2014-06-10 17:00:00,1009.1,1012.3,,23.2,19.6,22.8,80,2.8,90.0,1.0,1.21,-999,-999,,,
2014-06-10 18:00:00,1009.2,1012.4,,22.1,19.3,22.3,84,3.1,67.5,0.5,0.49,-999,-999,,,
2014-06-10 19:00:00,1009.6,1012.8,,20.2,18.7,21.5,91,2.4,90.0,0.0,0.08,-999,-999,,,
2014-06-10 20:00:00,1009.9,1013.1,,19.7,18.7,21.6,94,3.3,112.5,,0.0,-999,-999,,,
2014-06-10 21:00:00,1010.3,1013.5,,19.8,19.0,21.9,95,2.4,90.0,,,-999,-999,,,
2014-06-10 22:00:00,1010.3,1013.5,0.0,19.8,19.2,22.2,96,1.2,90.0,,,-999,-999,,,
2014-06-10 23:00:00,1009.9,1013.1,0.0,19.9,19.1,22.1,95,1.4,90.0,,,-999,-999,,,
2014-06-11 00:00:00,1009.3,1012.5,0.0,19.7,18.9,21.8,95,1.8,67.5,,,-999,-999,,,
