,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1999-11-13 01:00:00,1006.5,1010.2,,12.5,11.2,13.3,92,1.7,292.5,,,,,,,
1999-11-13 02:00:00,1006.5,1010.2,,13.1,11.7,13.7,91,2.3,292.5,,,,,,,
1999-11-13 03:00:00,1006.7,1010.4,,12.9,11.1,13.2,89,2.1,315.0,,,,,,,
1999-11-13 04:00:00,1006.8,1010.5,,10.9,9.7,12.0,92,2.1,270.0,,,,,,,
1999-11-13 05:00:00,1007.3,1011.0,,10.4,9.5,11.9,94,3.0,292.5,,,,,,,
1999-11-13 06:00:00,1008.0,1011.7,,10.8,10.0,12.3,95,2.2,292.5,,0.0,,,,,
1999-11-13 07:00:00,1009.0,1012.7,,11.8,11.0,13.1,95,2.3,315.0,,0.02,,,,,
1999-11-13 08:00:00,1010.5,1014.2,,12.3,11.5,13.6,95,2.2,315.0,,0.18,,,,,
1999-11-13 09:00:00,1011.6,1015.3,,12.9,12.0,14.0,94,2.4,292.5,,0.54,,,,10.0,1.5
1999-11-13 10:00:00,1011.8,1015.4,,15.7,12.3,14.3,80,1.0,202.5,0.8,1.6,,,,,
1999-11-13 11:00:00,1012.0,1015.6,,19.3,11.8,13.8,62,1.0,112.5,1.0,1.98,,,,,
1999-11-13 12:00:00,1011.8,1015.4,,21.1,10.3,12.5,50,1.3,337.5,1.0,2.09,,,,,
1999-11-13 13:00:00,1012.0,1015.6,,21.6,8.5,11.1,43,2.5,315.0,1.0,1.98,,,,,
1999-11-13 14:00:00,1012.5,1016.0,,22.3,6.5,9.7,36,2.3,292.5,1.0,1.66,,,,,
1999-11-13 15:00:00,1013.5,1017.1,,20.9,6.1,9.4,38,3.3,45.0,1.0,1.25,,,,0.0,30.0
1999-11-13 16:00:00,1014.7,1018.3,,19.1,4.1,8.2,37,3.0,22.5,1.0,0.49,,,,,
1999-11-13 17:00:00,1016.1,1019.7,,16.0,5.6,9.1,50,2.3,45.0,0.3,0.03,,,,,
1999-11-13 18:00:00,1017.0,1020.6,,16.0,3.4,7.8,43,2.1,67.5,,0.0,,,,,
1999-11-13 19:00:00,1018.2,1021.9,,13.8,3.8,8.0,51,2.1,45.0,,,,,,,
1999-11-13 20:00:00,1018.7,1022.4,,14.0,4.9,8.7,54,2.7,67.5,,,,,,,
1999-11-13 21:00:00,1019.5,1023.2,,12.7,5.4,9.0,61,2.0,67.5,,,,,,,
1999-11-13 22:00:00,1020.1,1023.9,,8.2,5.5,9.0,83,1.7,157.5,,,,,,,
1999-11-13 23:00:00,1020.1,1023.9,,6.7,5.0,8.7,89,1.2,225.0,,,,,,,
1999-11-14 00:00:00,1020.6,1024.4,,6.7,5.5,9.0,92,1.0,22.5,,,,,,,
