,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1990-08-21 01:00:00,1007.9,1011.4,,24.5,23.1,28.3,92,2.2,157.5,,,,,,,
1990-08-21 02:00:00,1007.9,1011.4,,23.8,23.0,28.1,95,1.4,112.5,,,,,,,
1990-08-21 03:00:00,1008.1,1011.6,,23.3,22.7,27.6,96,1.5,112.5,,,,,,,
1990-08-21 04:00:00,1008.4,1011.9,,22.8,22.4,27.1,98,0.8,112.5,,,,,,,
1990-08-21 05:00:00,1008.8,1012.3,,23.5,22.8,27.8,96,1.8,112.5,,0.0,,,,,
1990-08-21 06:00:00,1009.0,1012.5,,24.2,23.5,28.9,96,2.3,135.0,0.5,0.2,,,,,
1990-08-21 07:00:00,1009.3,1012.8,,26.5,24.3,30.4,88,1.5,157.5,1.0,0.76,,,,,
1990-08-21 08:00:00,1009.3,1012.8,,28.7,24.2,30.2,77,2.4,225.0,0.9,1.42,,,,,
1990-08-21 09:00:00,1009.3,1012.7,,29.9,23.7,29.3,69,3.1,202.5,0.5,1.43,,,,8.0,15.0
1990-08-21 10:00:00,1009.3,1012.7,,30.4,23.3,28.6,66,3.3,180.0,0.8,2.1,,,,,
1990-08-21 11:00:00,1009.3,1012.7,,32.0,23.6,29.1,61,3.7,202.5,0.7,2.45,,,,,
1990-08-21 12:00:00,1008.7,1012.1,,32.7,23.4,28.8,58,3.6,157.5,1.0,3.1,,,,,
1990-08-21 13:00:00,1008.6,1012.0,,32.7,23.5,28.9,59,3.4,180.0,0.7,2.49,,,,,
1990-08-21 14:00:00,1008.1,1011.5,,31.8,23.5,28.9,62,3.1,180.0,0.5,1.81,,,,,
1990-08-21 15:00:00,1007.7,1011.1,,32.6,23.3,28.6,58,2.6,157.5,0.8,1.98,,,,8.0,30.0
1990-08-21 16:00:00,1007.8,1011.2,,32.2,24.3,30.4,63,4.8,157.5,0.9,1.71,,,,,
1990-08-21 17:00:00,1008.0,1011.4,,30.9,24.5,30.7,69,4.4,157.5,0.8,0.83,,,,,
1990-08-21 18:00:00,1008.2,1011.6,,29.4,24.6,30.9,75,3.4,157.5,0.7,0.32,,,,,
1990-08-21 19:00:00,1008.7,1012.2,,28.2,24.6,30.9,81,3.5,157.5,,0.02,,,,,
1990-08-21 20:00:00,1009.1,1012.6,,27.5,24.6,30.9,84,3.4,157.5,,,,,,,
1990-08-21 21:00:00,1009.4,1012.9,,27.0,24.8,31.3,88,3.1,135.0,,,,,,,
1990-08-21 22:00:00,1010.0,1013.5,,26.8,25.0,31.7,90,2.5,157.5,,,,,,,
1990-08-21 23:00:00,1010.0,1013.5,,26.5,25.1,31.9,92,2.7,157.5,,,,,,,
1990-08-22 00:00:00,1009.5,1013.0,,26.4,25.0,31.7,92,2.1,180.0,,,,,,,
