,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2011-08-09 01:00:00,1007.4,1010.9,,25.0,24.7,31.1,98,1.2,112.5,,,,,,,
2011-08-09 02:00:00,1007.3,1010.8,,24.8,24.5,30.7,98,1.4,45.0,,,,,,,
2011-08-09 03:00:00,1007.2,1010.7,,24.9,24.4,30.6,97,0.8,112.5,,,,,,,
2011-08-09 04:00:00,1007.3,1010.8,,24.6,24.3,30.3,98,1.3,45.0,,,,,,,
2011-08-09 05:00:00,1007.6,1011.1,,24.8,24.5,30.7,98,0.8,90.0,0.0,0.0,,,,,
2011-08-09 06:00:00,1007.9,1011.4,,25.6,24.9,31.5,96,0.9,67.5,0.0,0.12,,,,,
2011-08-09 07:00:00,1008.3,1011.8,,26.1,25.1,31.8,94,0.9,67.5,0.0,0.3,,,,,
2011-08-09 08:00:00,1008.4,1011.9,,27.3,24.8,31.2,86,0.9,180.0,0.1,0.77,,,,,
2011-08-09 09:00:00,1008.2,1011.7,,29.0,25.0,31.7,79,1.1,112.5,0.6,1.81,,,,6.0,8.0
2011-08-09 10:00:00,1008.1,1011.6,,30.3,24.7,31.1,72,1.3,225.0,0.7,2.18,,,,,
2011-08-09 11:00:00,1007.6,1011.0,,32.1,25.9,33.5,70,1.5,202.5,0.9,2.94,,,,,
2011-08-09 12:00:00,1007.1,1010.5,0.0,33.1,26.4,34.4,68,2.0,157.5,1.0,3.31,,,,,
2011-08-09 13:00:00,1006.4,1009.8,,32.9,24.4,30.5,61,1.8,202.5,0.8,2.71,,,,,
2011-08-09 14:00:00,1006.0,1009.4,,33.9,23.9,29.6,56,1.8,157.5,0.9,2.39,,,,,
2011-08-09 15:00:00,1005.3,1008.7,,34.4,24.1,29.9,55,1.4,225.0,1.0,2.08,,,,10.0,15.0
2011-08-09 16:00:00,1005.4,1008.8,,32.9,26.7,35.0,70,3.3,90.0,0.8,1.76,,,,,
2011-08-09 17:00:00,1005.4,1008.8,,32.3,26.4,34.4,71,3.7,135.0,0.3,0.62,,,,,
2011-08-09 18:00:00,1005.6,1009.1,,31.0,24.9,31.5,70,3.3,180.0,0.7,0.41,,,,,
2011-08-09 19:00:00,1006.3,1009.8,,29.5,24.8,31.3,76,2.6,180.0,0.0,0.05,,,,,
2011-08-09 20:00:00,1006.8,1010.3,,29.0,24.1,30.1,75,2.4,180.0,,0.0,,,,,
2011-08-09 21:00:00,1007.2,1010.7,,28.4,24.0,29.8,77,2.5,180.0,,,,,,,
2011-08-09 22:00:00,1007.1,1010.6,,27.7,24.8,31.2,84,2.9,180.0,,,,,,,
2011-08-09 23:00:00,1007.3,1010.8,,27.6,25.2,32.1,87,1.8,202.5,,,,,,,
2011-08-10 00:00:00,1006.9,1010.4,,27.0,25.2,32.1,90,2.0,180.0,,,,,,,
