,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2007-09-11 01:00:00,1007.6,1011.2,,24.4,23.0,28.1,92,1.5,180.0,,,,,,,
2007-09-11 02:00:00,1007.6,1011.2,0.0,24.1,23.1,28.3,94,1.7,135.0,,,,,,,
2007-09-11 03:00:00,1007.6,1011.2,0.5,24.1,23.2,28.4,95,1.2,135.0,,,,,,,
2007-09-11 04:00:00,1007.8,1011.4,,24.0,23.1,28.3,95,1.5,112.5,,,,,,,
2007-09-11 05:00:00,1008.3,1011.9,,23.9,22.9,27.9,94,2.2,67.5,,0.0,,,,,
2007-09-11 06:00:00,1008.8,1012.4,0.0,22.9,21.9,26.3,94,3.3,67.5,,0.01,,,,,
2007-09-11 07:00:00,1009.0,1012.6,0.0,22.7,21.3,25.3,92,3.4,67.5,,0.11,,,,,
2007-09-11 08:00:00,1009.6,1013.2,0.0,22.6,20.9,24.7,90,3.1,67.5,,0.15,,,,,
2007-09-11 09:00:00,1010.0,1013.6,0.5,22.6,20.9,24.7,90,4.6,67.5,,0.18,,,,10.0,12.0
2007-09-11 10:00:00,1010.4,1014.0,,22.8,20.5,24.1,87,3.8,67.5,,0.48,,,,,
2007-09-11 11:00:00,1010.3,1013.9,,23.3,19.9,23.2,81,3.2,67.5,,0.74,,,,,
2007-09-11 12:00:00,1010.0,1013.6,,24.1,20.0,23.4,78,3.5,90.0,,1.42,,,,,
2007-09-11 13:00:00,1009.9,1013.5,,24.6,20.3,23.8,77,2.8,90.0,,1.3,,,,,
2007-09-11 14:00:00,1009.1,1012.7,,24.9,20.0,23.4,74,4.3,90.0,0.2,1.56,,,,,
2007-09-11 15:00:00,1009.3,1012.9,,23.9,19.8,23.1,78,3.1,67.5,,0.87,,,,10.0,15.0
2007-09-11 16:00:00,1009.4,1013.0,0.0,22.9,20.2,23.7,85,2.0,67.5,,0.19,,,,,
2007-09-11 17:00:00,1009.3,1012.9,0.0,22.9,20.6,24.3,87,2.3,67.5,,0.21,,,,,
2007-09-11 18:00:00,1009.7,1013.3,,22.6,20.1,23.5,86,1.8,90.0,,0.01,,,,,
2007-09-11 19:00:00,1009.8,1013.4,0.0,22.5,20.0,23.4,86,2.0,67.5,,0.0,,,,,
2007-09-11 20:00:00,1010.3,1013.9,,22.5,20.2,23.7,87,1.7,67.5,,,,,,,
2007-09-11 21:00:00,1009.6,1013.2,0.5,22.1,20.6,24.3,91,1.4,45.0,,,,,,,
2007-09-11 22:00:00,1009.2,1012.8,0.0,22.0,20.6,24.3,92,2.4,67.5,,,,,,,
2007-09-11 23:00:00,1009.3,1012.9,1.5,21.6,20.6,24.3,94,2.2,45.0,,,,,,,
2007-09-12 00:00:00,1008.3,1011.9,0.5,21.4,20.6,24.3,95,2.2,45.0,,,,,,,
