,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2012-05-14 01:00:00,1012.0,1015.3,,10.2,9.0,11.4,92,1.9,90.0,,,-999,-999,,,
2012-05-14 02:00:00,1012.5,1015.8,,10.0,8.9,11.4,93,1.5,90.0,,,-999,-999,,,
2012-05-14 03:00:00,1012.7,1016.0,,9.8,8.9,11.4,94,1.7,90.0,,,-999,-999,,,
2012-05-14 04:00:00,1013.1,1016.4,,10.0,9.2,11.7,95,1.4,67.5,,,-999,-999,,,
2012-05-14 05:00:00,1013.6,1016.9,,11.6,9.4,11.7,86,2.1,67.5,0.0,0.03,-999,-999,,,
2012-05-14 06:00:00,1014.1,1017.4,,13.3,9.9,12.2,80,1.6,67.5,0.7,0.36,-999,-999,,,
2012-05-14 07:00:00,1014.5,1017.8,,14.9,11.1,13.2,78,0.9,45.0,0.3,0.64,-999,-999,,,
2012-05-14 08:00:00,1014.5,1017.8,,16.3,11.5,13.5,73,1.2,90.0,0.8,1.35,-999,-999,,,
2012-05-14 09:00:00,1014.5,1017.7,,18.0,12.9,14.9,72,1.9,90.0,0.4,1.39,-999,-999,,10.0,10.0
2012-05-14 10:00:00,1014.8,1018.0,,19.5,13.0,15.0,66,1.7,112.5,0.9,2.44,-999,-999,,,
2012-05-14 11:00:00,1014.0,1017.2,,22.3,12.8,14.8,55,3.0,180.0,0.8,2.85,-999,-999,,,
2012-05-14 12:00:00,1013.1,1016.3,,22.7,9.5,11.9,43,3.7,180.0,0.9,2.69,-999,-999,,,
2012-05-14 13:00:00,1013.0,1016.2,,21.9,14.1,16.0,61,3.2,112.5,1.0,2.89,-999,-999,,,
2012-05-14 14:00:00,1012.5,1015.7,,21.5,14.2,16.2,63,3.3,90.0,0.4,1.73,-999,-999,,,
2012-05-14 15:00:00,1012.3,1015.5,,22.0,14.2,16.1,61,3.2,90.0,0.4,1.61,-999,-999,,,
2012-05-14 16:00:00,1012.5,1015.7,,22.3,13.9,15.9,59,3.8,135.0,0.3,1.1,-999,-999,,,
2012-05-14 17:00:00,1012.3,1015.5,,21.8,14.0,15.9,61,4.0,135.0,0.7,1.0,-999,-999,,,
2012-05-14 18:00:00,1012.4,1015.6,,21.6,13.0,15.0,58,3.0,180.0,0.1,0.23,-999,-999,,,
2012-05-14 19:00:00,1013.0,1016.2,,19.5,14.1,16.1,71,3.6,157.5,0.1,0.06,-999,-999,,,
2012-05-14 20:00:00,1013.2,1016.4,,18.4,14.1,16.1,76,3.0,157.5,,0.0,-999,-999,,,
2012-05-14 21:00:00,1013.2,1016.4,,17.8,14.5,16.5,81,2.4,135.0,,,-999,-999,,,
2012-05-14 22:00:00,1013.2,1016.4,,17.4,14.7,16.7,84,2.0,135.0,,,-999,-999,,,
2012-05-14 23:00:00,1012.3,1015.5,,17.2,15.0,17.1,87,2.4,135.0,,,-999,-999,,,
2012-05-15 00:00:00,1011.5,1014.8,,16.3,14.7,16.7,90,2.5,135.0,,,-999,-999,,,
