,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1997-05-20 01:00:00,997.5,1001.1,0.5,14.0,12.5,14.5,91,2.1,315.0,,,,,,,
1997-05-20 02:00:00,997.3,1000.9,0.0,13.7,12.6,14.6,93,1.9,315.0,,,,,,,
1997-05-20 03:00:00,997.1,1000.7,0.5,13.6,12.7,14.7,94,1.9,22.5,,,,,,,
1997-05-20 04:00:00,997.2,1000.8,0.0,13.7,13.0,15.0,96,1.2,315.0,,,,,,,
1997-05-20 05:00:00,997.5,1001.1,0.0,13.8,13.1,15.1,96,1.0,337.5,,0.0,,,,,
1997-05-20 06:00:00,997.9,1001.5,0.0,14.3,13.1,15.1,93,0.9,337.5,,0.11,,,,,
1997-05-20 07:00:00,998.3,1001.9,0.0,14.5,13.1,15.1,91,1.9,45.0,,0.22,,,,,
1997-05-20 08:00:00,998.4,1002.0,0.0,14.2,13.0,15.0,93,2.5,90.0,,0.26,,,,,
1997-05-20 09:00:00,998.0,1001.6,0.5,14.5,13.5,15.5,94,2.0,90.0,,0.6,,,,10.0,5.0
1997-05-20 10:00:00,997.8,1001.4,0.0,14.4,12.5,14.5,88,2.0,45.0,,0.74,,,,,
1997-05-20 11:00:00,997.6,1001.2,0.0,14.3,12.5,14.5,89,1.9,67.5,,0.21,,,,,
1997-05-20 12:00:00,996.7,1000.3,0.0,14.0,12.4,14.4,90,3.0,45.0,,0.2,,,,,
1997-05-20 13:00:00,996.7,1000.3,0.5,14.1,12.5,14.5,90,1.8,90.0,,0.33,,,,,
1997-05-20 14:00:00,996.6,1000.2,0.0,15.2,12.7,14.7,85,2.4,67.5,,0.86,,,,,
1997-05-20 15:00:00,996.0,999.6,0.0,15.8,12.8,14.8,82,2.9,90.0,0.1,1.16,,,,10.0,8.0
1997-05-20 16:00:00,995.6,999.2,0.0,15.4,12.9,14.9,85,3.0,90.0,,0.73,,,,,
1997-05-20 17:00:00,995.2,998.8,,15.2,12.9,14.9,86,3.2,90.0,,0.61,,,,,
1997-05-20 18:00:00,995.3,998.9,,14.6,12.9,14.9,90,3.4,90.0,,0.15,,,,,
1997-05-20 19:00:00,995.5,999.1,,14.4,12.7,14.7,90,2.9,67.5,,0.01,,,,,
1997-05-20 20:00:00,995.6,999.2,0.0,14.0,12.2,14.2,89,3.2,67.5,,0.0,,,,,
1997-05-20 21:00:00,995.5,999.1,0.0,13.7,12.2,14.2,91,2.9,45.0,,,,,,,
1997-05-20 22:00:00,995.7,999.3,0.0,13.4,12.3,14.3,93,2.2,67.5,,,,,,,
1997-05-20 23:00:00,995.2,998.8,0.0,13.2,11.9,13.9,92,3.3,67.5,,,,,,,
1997-05-21 00:00:00,995.0,998.6,0.5,13.0,12.0,14.0,94,2.7,67.5,,,,,,,
