,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1994-06-05 01:00:00,1010.4,1014.0,,19.1,16.5,18.8,85,1.8,90.0,,,,,,,
1994-06-05 02:00:00,1010.3,1013.9,,18.1,16.4,18.6,90,2.4,45.0,,,,,,,
1994-06-05 03:00:00,1010.2,1013.8,,18.0,16.8,19.1,93,2.0,45.0,,,,,,,
1994-06-05 04:00:00,1010.6,1014.2,,18.0,16.7,19.0,92,1.5,45.0,,0.0,,,,,
1994-06-05 05:00:00,1010.4,1014.0,,17.1,16.4,18.6,96,0.4,337.5,,0.04,,,,,
1994-06-05 06:00:00,1011.0,1014.6,,18.5,17.1,19.5,92,2.1,45.0,,0.34,,,,,
1994-06-05 07:00:00,1011.4,1015.0,,18.7,17.5,20.0,93,3.5,45.0,,0.48,,,,,
1994-06-05 08:00:00,1012.1,1015.7,,19.2,16.9,19.2,87,2.5,67.5,,0.68,,,,,
1994-06-05 09:00:00,1012.1,1015.7,,19.8,16.9,19.2,83,2.6,22.5,,1.25,,,,10.0,4.0
1994-06-05 10:00:00,1012.0,1015.6,,21.2,17.3,19.7,78,1.8,112.5,,1.54,,,,,
1994-06-05 11:00:00,1011.3,1014.8,,22.7,18.2,20.9,76,2.0,90.0,0.4,2.19,,,,,
1994-06-05 12:00:00,1010.9,1014.4,,23.1,17.3,19.7,70,2.1,90.0,0.8,2.96,,,,,
1994-06-05 13:00:00,1010.2,1013.7,,24.2,16.9,19.2,64,2.2,112.5,1.0,2.88,,,,,
1994-06-05 14:00:00,1010.0,1013.5,,24.8,16.0,18.2,58,2.4,90.0,1.0,2.78,,,,,
1994-06-05 15:00:00,1009.3,1012.8,,25.4,15.2,17.3,53,2.7,112.5,1.0,2.41,,,,8.0,7.0
1994-06-05 16:00:00,1009.0,1012.5,,25.7,14.7,16.7,51,1.1,45.0,0.6,1.5,,,,,
1994-06-05 17:00:00,1009.2,1012.7,,24.3,16.7,19.0,63,3.3,112.5,0.4,0.91,,,,,
1994-06-05 18:00:00,1010.2,1013.7,,21.5,17.2,19.6,77,4.1,67.5,,0.25,,,,,
1994-06-05 19:00:00,1010.4,1014.0,,20.4,13.6,15.6,65,3.5,67.5,,0.05,,,,,
1994-06-05 20:00:00,1010.3,1013.9,,19.7,13.5,15.5,67,3.5,67.5,,0.0,,,,,
1994-06-05 21:00:00,1011.1,1014.7,,18.8,13.2,15.2,70,4.1,90.0,,,,,,,
1994-06-05 22:00:00,1011.8,1015.4,,18.4,15.2,17.3,82,3.4,67.5,,,,,,,
1994-06-05 23:00:00,1012.1,1015.7,,17.8,15.0,17.0,84,2.1,45.0,,,,,,,
1994-06-06 00:00:00,1011.5,1015.1,,17.9,15.4,17.5,85,2.7,67.5,,,,,,,
