,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1994-02-02 01:00:00,996.6,1000.4,,1.0,0.3,6.2,95,2.0,292.5,,,,,,,
1994-02-02 02:00:00,997.2,1001.0,,0.1,-0.9,5.7,93,2.7,315.0,,,,,,,
1994-02-02 03:00:00,997.7,1001.4,,4.7,-3.3,4.8,56,6.0,315.0,,,,,,,
1994-02-02 04:00:00,998.5,1002.2,,4.6,-5.2,4.2,49,8.5,292.5,,,,,,,
1994-02-02 05:00:00,999.3,1003.1,,3.8,-5.9,3.9,49,7.1,270.0,,,,,,,
1994-02-02 06:00:00,999.8,1003.6,,2.5,-6.0,3.9,53,5.4,270.0,,,,,,,
1994-02-02 07:00:00,1000.7,1004.5,,3.1,-8.8,3.2,41,6.4,292.5,0.1,0.02,,,,,
1994-02-02 08:00:00,1001.6,1005.4,,3.5,-8.2,3.3,42,6.7,270.0,1.0,0.44,,,,,
1994-02-02 09:00:00,1001.4,1005.2,,4.4,-8.6,3.2,38,6.0,270.0,1.0,1.13,,,,0.0,30.0
1994-02-02 10:00:00,1001.7,1005.4,,5.2,-8.1,3.3,38,7.3,270.0,1.0,1.73,,,,,
1994-02-02 11:00:00,1001.7,1005.4,,6.2,-7.4,3.5,37,8.3,292.5,1.0,2.17,,,,,
1994-02-02 12:00:00,1001.3,1005.0,,6.3,-9.3,3.0,32,8.2,292.5,1.0,2.38,,,,,
1994-02-02 13:00:00,1000.9,1004.6,,6.7,-8.8,3.2,32,6.7,315.0,1.0,2.33,,,,,
1994-02-02 14:00:00,1001.0,1004.7,,6.5,-9.2,3.1,32,6.7,315.0,1.0,2.05,,,,,
1994-02-02 15:00:00,1001.4,1005.1,,5.7,-10.5,2.8,30,7.5,315.0,1.0,1.56,,,,0.0,40.0
1994-02-02 16:00:00,1001.6,1005.4,,4.7,-11.2,2.6,30,7.7,337.5,1.0,0.94,,,,,
1994-02-02 17:00:00,1002.1,1005.9,,2.8,-10.6,2.7,37,5.1,315.0,0.9,0.28,,,,,
1994-02-02 18:00:00,1002.3,1006.1,,2.0,-10.5,2.8,39,6.1,315.0,,0.01,,,,,
1994-02-02 19:00:00,1002.3,1006.1,,2.2,-11.2,2.6,36,8.0,337.5,,,,,,,
1994-02-02 20:00:00,1003.2,1007.0,,1.9,-11.2,2.6,37,7.8,337.5,,,,,,,
1994-02-02 21:00:00,1004.1,1007.9,,1.2,-10.8,2.7,40,4.8,292.5,,,,,,,
1994-02-02 22:00:00,1003.9,1007.7,,0.4,-10.5,2.8,44,4.0,292.5,,,,,,,
1994-02-02 23:00:00,1003.9,1007.7,,0.2,-10.8,2.7,43,4.5,270.0,,,,,,,
1994-02-03 00:00:00,1003.3,1007.1,,-1.4,-9.9,2.9,52,2.4,292.5,,,,,,,
