,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1992-08-09 01:00:00,1005.1,1008.6,,25.0,21.9,26.3,83,5.3,157.5,,,,,,,
1992-08-09 02:00:00,1004.4,1007.9,,25.0,21.7,26.0,82,4.8,157.5,,,,,,,
1992-08-09 03:00:00,1003.8,1007.3,,25.2,21.7,26.0,81,4.8,157.5,,,,,,,
1992-08-09 04:00:00,1003.0,1006.5,,25.4,21.8,26.1,81,4.4,157.5,,,,,,,
1992-08-09 05:00:00,1002.7,1006.2,,25.7,22.0,26.4,80,4.8,157.5,,0.0,,,,,
1992-08-09 06:00:00,1002.4,1005.9,,26.1,22.2,26.8,79,6.1,157.5,,0.07,,,,,
1992-08-09 07:00:00,1001.6,1005.1,0.0,26.1,22.5,27.2,81,5.7,157.5,,0.24,,,,,
1992-08-09 08:00:00,1001.2,1004.6,0.0,26.8,22.4,27.1,77,6.0,157.5,,0.21,,,,,
1992-08-09 09:00:00,1000.8,1004.2,,28.2,22.7,27.6,72,9.5,180.0,,0.72,,,,10.0,10.0
1992-08-09 10:00:00,999.6,1003.0,,29.1,23.0,28.1,70,8.8,202.5,0.4,1.68,,,,,
1992-08-09 11:00:00,1000.0,1003.4,0.0,27.8,23.0,28.1,75,9.2,202.5,0.5,2.21,,,,,
1992-08-09 12:00:00,1000.0,1003.4,0.0,27.4,22.0,26.4,72,8.8,202.5,,1.06,,,,,
1992-08-09 13:00:00,1000.5,1003.9,0.0,27.9,22.1,26.6,71,4.8,202.5,,1.07,,,,,
1992-08-09 14:00:00,1001.0,1004.4,,27.8,22.2,26.8,72,5.6,180.0,,1.37,,,,,
1992-08-09 15:00:00,1001.2,1004.6,,27.3,21.8,26.1,72,4.6,180.0,,1.11,,,,10.0,15.0
1992-08-09 16:00:00,1001.7,1005.1,,28.9,22.3,26.9,68,3.9,202.5,0.6,1.64,,,,,
1992-08-09 17:00:00,1002.1,1005.5,,28.8,22.0,26.4,67,3.7,202.5,0.7,1.07,,,,,
1992-08-09 18:00:00,1002.7,1006.1,,27.3,22.1,26.6,73,3.0,157.5,1.0,0.53,,,,,
1992-08-09 19:00:00,1003.7,1007.2,,26.1,22.1,26.6,79,2.9,180.0,,0.06,,,,,
1992-08-09 20:00:00,1004.8,1008.3,,25.0,22.1,26.6,84,0.9,135.0,,0.0,,,,,
1992-08-09 21:00:00,1005.6,1009.1,,23.2,22.0,26.4,93,1.1,90.0,,,,,,,
1992-08-09 22:00:00,1005.8,1009.3,,23.1,22.1,26.6,94,0.8,67.5,,,,,,,
1992-08-09 23:00:00,1005.8,1009.3,,22.6,21.7,26.0,95,0.9,67.5,,,,,,,
1992-08-10 00:00:00,1006.1,1009.6,,23.3,22.1,26.6,93,2.3,67.5,,,,,,,
