,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2020-12-29 01:00:00,1016.4,1019.8,,2.3,2.3,7.2,100,0.7,225.0,,,,,,,0.13
2020-12-29 02:00:00,1017.0,1020.5,,1.5,1.5,6.8,100,1.3,337.5,,,,,,,0.27
2020-12-29 03:00:00,1016.4,1019.9,,0.7,0.7,6.4,100,0.8,135.0,,,,,,,0.56
2020-12-29 04:00:00,1016.9,1020.4,,0.6,0.6,6.4,100,0.8,67.5,,,,,,,0.23
2020-12-29 05:00:00,1016.7,1020.2,,0.0,0.0,6.1,100,1.0,90.0,,,,,,,0.17
2020-12-29 06:00:00,1016.3,1019.8,,-0.5,-0.5,5.9,100,0.9,90.0,,,,,,,0.1
2020-12-29 07:00:00,1017.0,1020.5,,-0.7,-0.7,5.8,100,0.3,90.0,0.0,0.01,,,,,0.11
2020-12-29 08:00:00,1018.6,1022.1,,0.7,0.7,6.4,100,1.1,292.5,0.0,0.22,,,,,0.18
2020-12-29 09:00:00,1019.5,1022.9,,3.1,3.1,7.6,100,1.4,315.0,0.4,0.69,,,,,2.11
2020-12-29 10:00:00,1019.4,1022.8,,7.1,5.6,9.1,90,1.9,337.5,1.0,1.28,,,,,7.67
2020-12-29 11:00:00,1018.1,1021.5,,9.2,3.8,8.0,69,1.0,315.0,0.6,1.08,,,,,9.74
2020-12-29 12:00:00,1016.5,1019.8,,10.8,4.7,8.5,66,1.1,45.0,0.2,0.95,,,,,10.9
2020-12-29 13:00:00,1014.9,1018.2,,10.8,4.7,8.5,66,1.7,45.0,0.0,0.84,,,,,13.6
2020-12-29 14:00:00,1014.2,1017.5,,10.9,4.2,8.2,63,1.8,67.5,0.0,0.44,,,,,17.4
2020-12-29 15:00:00,1013.5,1016.8,,10.8,4.3,8.3,64,1.6,90.0,0.0,0.35,,,,,20.0
2020-12-29 16:00:00,1012.3,1015.6,,10.5,4.7,8.5,67,1.5,112.5,0.0,0.26,,,,,13.4
2020-12-29 17:00:00,1012.6,1015.9,,9.4,5.2,8.8,75,0.8,22.5,0.0,0.04,,,,,13.8
2020-12-29 18:00:00,1011.9,1015.2,,8.7,5.3,8.9,79,1.3,45.0,,0.0,,,,,11.3
2020-12-29 19:00:00,1011.2,1014.6,,7.8,5.5,9.0,85,1.1,67.5,,,,,,,10.3
2020-12-29 20:00:00,1010.3,1013.7,,7.2,5.5,9.0,89,1.2,292.5,,,,,,,8.86
2020-12-29 21:00:00,1008.8,1012.2,,6.4,5.1,8.7,91,1.2,292.5,,,,,,,7.41
2020-12-29 22:00:00,1008.0,1011.4,,4.8,3.9,8.1,94,1.4,270.0,,,,,,,5.29
2020-12-29 23:00:00,1006.1,1009.5,,4.1,3.5,7.9,96,1.3,202.5,,,,,,,3.83
2020-12-30 00:00:00,1004.3,1007.7,,3.3,3.0,7.6,98,1.4,270.0,,,,,,,2.09
