,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2016-03-31 01:00:00,1013.4,1016.8,,8.5,4.9,8.7,78,1.0,90.0,,,,,,,
2016-03-31 02:00:00,1013.7,1017.1,,6.6,4.1,8.2,84,0.5,315.0,,,,,,,
2016-03-31 03:00:00,1014.1,1017.5,,6.0,4.5,8.4,90,1.3,202.5,,,,,,,
2016-03-31 04:00:00,1014.5,1017.9,,5.0,3.4,7.8,89,2.5,180.0,,,,,,,
2016-03-31 05:00:00,1015.0,1018.4,,5.0,3.8,8.0,92,1.5,180.0,,0.0,,,,,
2016-03-31 06:00:00,1015.7,1019.1,,4.4,3.8,8.0,96,1.8,180.0,0.1,0.05,,,,,
2016-03-31 07:00:00,1016.4,1019.8,,9.7,5.9,9.3,77,1.5,180.0,1.0,0.57,,,,,
2016-03-31 08:00:00,1016.5,1019.8,,12.8,0.9,6.5,44,2.1,157.5,1.0,1.34,,,,,
2016-03-31 09:00:00,1016.6,1019.9,,14.3,-2.2,5.2,32,2.3,180.0,1.0,2.03,,,,8.0,15.0
2016-03-31 10:00:00,1016.4,1019.7,,15.8,-3.1,4.8,27,2.0,247.5,1.0,2.64,,,,,
2016-03-31 11:00:00,1015.8,1019.1,,17.6,-5.0,4.2,21,2.8,292.5,1.0,3.04,,,,,
2016-03-31 12:00:00,1015.1,1018.3,,18.9,-10.1,2.8,13,3.1,315.0,1.0,3.2,,,,,
2016-03-31 13:00:00,1014.3,1017.5,,20.5,-12.2,2.4,10,3.1,292.5,1.0,3.08,,,,,
2016-03-31 14:00:00,1013.7,1016.9,,19.7,-12.8,2.3,10,1.6,247.5,1.0,2.44,,,,,
2016-03-31 15:00:00,1013.6,1016.8,,19.1,-3.7,4.6,21,4.8,202.5,0.9,1.85,,,,,
2016-03-31 16:00:00,1013.3,1016.5,,18.6,-1.8,5.4,25,4.7,202.5,0.9,1.22,,,,,
2016-03-31 17:00:00,1014.0,1017.2,,17.4,0.1,6.2,31,3.7,202.5,0.2,0.51,,,,,
2016-03-31 18:00:00,1014.5,1017.8,,15.9,1.6,6.9,38,3.9,180.0,0.0,0.12,,,,,
2016-03-31 19:00:00,1015.0,1018.3,,14.8,2.0,7.1,42,2.8,180.0,,0.0,,,,,
2016-03-31 20:00:00,1015.4,1018.7,,13.5,2.4,7.3,47,1.9,157.5,,,,,,,
2016-03-31 21:00:00,1015.3,1018.6,,12.4,3.1,7.6,53,1.6,135.0,,,,,,,
2016-03-31 22:00:00,1015.4,1018.7,,11.5,3.5,7.9,58,1.8,90.0,,,,,,,
2016-03-31 23:00:00,1015.5,1018.8,,10.4,4.1,8.2,65,1.4,90.0,,,,,,,
2016-04-01 00:00:00,1015.4,1018.7,,9.6,4.2,8.2,69,1.5,67.5,,,,,,,
