,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2002-03-07 01:00:00,997.3,1001.0,,6.2,5.6,9.1,96,0.6,315.0,,,,,,,
2002-03-07 02:00:00,997.4,1001.1,,4.1,3.7,8.0,97,1.4,315.0,,,,,,,
2002-03-07 03:00:00,997.3,1001.1,,3.2,3.1,7.6,99,1.7,292.5,,,,,,,
2002-03-07 04:00:00,997.7,1001.5,,3.6,-1.3,5.6,70,2.5,270.0,,,,,,,
2002-03-07 05:00:00,998.4,1002.2,,3.5,-1.8,5.4,68,2.3,247.5,,,,,,,
2002-03-07 06:00:00,999.1,1002.9,,1.8,-2.5,5.1,73,2.4,292.5,,0.0,,,,,
2002-03-07 07:00:00,999.6,1003.4,,3.6,-0.6,5.9,74,2.2,292.5,0.6,0.17,,,,,
2002-03-07 08:00:00,1000.2,1003.9,,8.7,-1.4,5.5,49,0.9,337.5,1.0,0.82,,,,,
2002-03-07 09:00:00,1000.5,1004.2,,10.8,-1.2,5.6,43,2.1,202.5,1.0,1.54,,,,0.0,12.0
2002-03-07 10:00:00,1000.3,1003.9,,12.7,-1.9,5.3,36,2.9,225.0,1.0,2.17,,,,,
2002-03-07 11:00:00,1000.0,1003.6,,14.2,-5.0,4.2,26,3.4,270.0,1.0,2.56,,,,,
2002-03-07 12:00:00,999.6,1003.2,,15.6,-5.4,4.1,23,3.8,292.5,1.0,2.78,,,,,
2002-03-07 13:00:00,999.2,1002.8,,15.1,-7.0,3.6,21,5.5,292.5,0.9,2.52,,,,,
2002-03-07 14:00:00,999.3,1002.9,,14.9,-7.2,3.6,21,4.8,315.0,0.9,2.34,,,,,
2002-03-07 15:00:00,1000.3,1003.9,,13.9,-5.2,4.2,26,5.5,315.0,0.8,1.74,,,,4.0,20.0
2002-03-07 16:00:00,1001.6,1005.2,,13.2,-5.3,4.1,27,6.4,315.0,0.6,1.01,,,,,
2002-03-07 17:00:00,1002.7,1006.3,,12.2,-8.3,3.3,23,3.8,337.5,0.2,0.38,,,,,
2002-03-07 18:00:00,1004.3,1008.0,,10.9,-7.8,3.4,26,4.5,337.5,,0.04,,,,,
2002-03-07 19:00:00,1005.9,1009.6,,9.1,-5.1,4.2,36,3.9,22.5,,0.0,,,,,
2002-03-07 20:00:00,1007.1,1010.8,,8.0,-5.4,4.1,38,2.0,22.5,,,,,,,
2002-03-07 21:00:00,1008.5,1012.3,,6.0,-5.0,4.2,45,2.0,0.0,,,,,,,
2002-03-07 22:00:00,1009.9,1013.7,,4.9,-3.8,4.6,53,1.8,292.5,,,,,,,
2002-03-07 23:00:00,1010.4,1014.2,,3.2,-4.0,4.5,59,1.3,270.0,,,,,,,
2002-03-08 00:00:00,1010.9,1014.7,,1.7,-3.3,4.8,69,2.0,270.0,,,,,,,
