,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1992-04-22 01:00:00,1005.2,1008.8,,15.9,12.1,14.1,78,4.4,180.0,,,,,,,
1992-04-22 02:00:00,1004.5,1008.1,,16.3,12.6,14.6,79,5.1,202.5,,,,,,,
1992-04-22 03:00:00,1003.9,1007.5,,16.2,11.6,13.7,74,5.0,202.5,,,,,,,
1992-04-22 04:00:00,1003.3,1006.9,,16.0,12.0,14.0,77,4.5,202.5,,,,,,,
1992-04-22 05:00:00,1002.8,1006.4,,16.0,11.6,13.7,75,4.7,202.5,,0.0,,,,,
1992-04-22 06:00:00,1002.4,1006.0,,16.3,11.2,13.3,72,5.1,202.5,,0.05,,,,,
1992-04-22 07:00:00,1002.1,1005.7,,16.9,12.2,14.2,74,5.6,202.5,,0.29,,,,,
1992-04-22 08:00:00,1001.4,1005.0,,17.5,12.0,14.0,70,5.6,202.5,,0.53,,,,,
1992-04-22 09:00:00,1001.0,1004.6,,18.2,11.7,13.7,66,9.9,202.5,,0.62,,,,10.0,18.0
1992-04-22 10:00:00,1000.3,1003.9,,18.4,12.3,14.3,68,7.1,202.5,,0.53,,,,,
1992-04-22 11:00:00,998.3,1001.8,0.0,18.9,12.7,14.7,67,7.4,202.5,,0.65,,,,,
1992-04-22 12:00:00,996.1,999.6,0.0,18.9,12.4,14.4,66,7.2,180.0,,0.7,,,,,
1992-04-22 13:00:00,994.0,997.5,,18.9,12.7,14.7,67,3.2,180.0,,0.47,,,,,
1992-04-22 14:00:00,990.8,994.3,2.0,16.6,15.1,17.2,91,4.4,157.5,,0.26,,,,,
1992-04-22 15:00:00,988.7,992.2,7.0,16.8,16.1,18.3,96,2.6,180.0,,0.17,,,,10.0,2.5
1992-04-22 16:00:00,987.8,991.3,23.0,18.3,17.6,20.1,96,4.2,247.5,,0.08,,,,,
1992-04-22 17:00:00,989.1,992.7,7.0,14.7,13.7,15.7,94,5.4,0.0,,0.13,,,,,
1992-04-22 18:00:00,990.5,994.1,0.5,14.8,13.8,15.8,94,1.6,225.0,,0.06,,,,,
1992-04-22 19:00:00,992.2,995.8,,14.5,13.5,15.5,94,2.0,225.0,,0.01,,,,,
1992-04-22 20:00:00,992.3,995.9,,13.7,13.2,15.2,97,2.2,135.0,,,,,,,
1992-04-22 21:00:00,993.6,997.2,,12.1,11.8,13.8,98,0.0,,,,,,,,
1992-04-22 22:00:00,994.4,998.0,,10.9,10.9,13.0,100,1.5,292.5,,,,,,,
1992-04-22 23:00:00,995.7,999.3,,10.8,10.8,12.9,100,2.9,337.5,,,,,,,
1992-04-23 00:00:00,996.7,1000.4,,9.9,9.2,11.6,95,3.5,315.0,,,,,,,
