,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2013-09-04 01:00:00,1008.6,1011.8,,23.5,21.8,26.1,90,1.6,90.0,,,-999,-999,,,
2013-09-04 02:00:00,1008.0,1011.2,,23.5,22.3,26.9,93,1.2,90.0,,,-999,-999,,,
2013-09-04 03:00:00,1007.3,1010.4,0.0,24.2,23.0,28.1,93,1.7,45.0,,,-999,-999,,,
2013-09-04 04:00:00,1007.2,1010.3,3.5,23.7,22.9,27.8,95,1.3,45.0,,,-999,-999,,,
2013-09-04 05:00:00,1007.4,1010.5,19.5,24.1,23.6,29.1,97,1.3,67.5,,0.0,-999,-999,,,
2013-09-04 06:00:00,1007.2,1010.3,0.0,24.1,23.4,28.8,96,1.3,135.0,0.0,0.02,-999,-999,,,
2013-09-04 07:00:00,1007.5,1010.6,9.0,24.1,23.6,29.1,97,0.4,247.5,0.0,0.06,-999,-999,,,
2013-09-04 08:00:00,1007.5,1010.6,0.0,24.8,24.0,29.7,95,1.7,135.0,0.0,0.35,-999,-999,,,
2013-09-04 09:00:00,1007.7,1010.8,,26.7,24.2,30.1,86,1.6,180.0,0.4,1.19,-999,-999,,8.0,20.0
2013-09-04 10:00:00,1007.6,1010.7,0.0,27.0,24.5,30.7,86,2.4,157.5,0.2,1.24,-999,-999,,,
2013-09-04 11:00:00,1006.7,1009.8,0.0,28.1,24.3,30.4,80,3.2,157.5,0.5,2.02,-999,-999,,,
2013-09-04 12:00:00,1006.2,1009.3,0.0,29.4,25.0,31.6,77,3.7,157.5,0.1,1.4,-999,-999,,,
2013-09-04 13:00:00,1005.7,1008.8,0.0,29.4,23.8,29.5,72,5.0,180.0,0.5,2.16,-999,-999,,,
2013-09-04 14:00:00,1005.2,1008.3,0.5,27.9,24.3,30.5,81,4.3,180.0,0.2,1.22,-999,-999,,,
2013-09-04 15:00:00,1004.6,1007.7,4.0,29.9,25.0,31.7,75,3.7,180.0,0.8,1.89,-999,-999,,,
2013-09-04 16:00:00,1004.6,1007.7,,30.0,25.1,31.8,75,3.2,157.5,0.3,0.93,-999,-999,,,
2013-09-04 17:00:00,1004.9,1008.0,1.0,28.4,25.2,32.1,83,2.6,180.0,0.4,0.5,-999,-999,,,
2013-09-04 18:00:00,1004.9,1008.0,1.0,26.7,25.3,32.2,92,2.4,157.5,0.1,0.15,-999,-999,,,
2013-09-04 19:00:00,1006.1,1009.2,0.0,26.0,25.3,32.3,96,1.6,202.5,0.0,0.0,-999,-999,,,
2013-09-04 20:00:00,1006.0,1009.1,,26.1,24.3,30.4,90,2.8,135.0,,,-999,-999,,,
2013-09-04 21:00:00,1006.8,1009.9,0.0,26.1,24.7,31.1,92,2.6,135.0,,,-999,-999,,,
2013-09-04 22:00:00,1006.7,1009.8,0.0,25.9,24.5,30.8,92,3.1,157.5,,,-999,-999,,,
2013-09-04 23:00:00,1006.7,1009.8,,25.8,24.4,30.6,92,2.2,157.5,,,-999,-999,,,
2013-09-05 00:00:00,1006.8,1009.9,,25.3,24.4,30.6,95,1.5,112.5,,,-999,-999,,,
