,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1997-11-10 01:00:00,1027.2,1031.0,,6.1,2.8,7.5,79,2.4,45.0,,,,,,,
1997-11-10 02:00:00,1027.4,1031.3,,4.0,2.5,7.3,90,1.8,292.5,,,,,,,
1997-11-10 03:00:00,1027.4,1031.3,,3.2,2.2,7.2,93,1.7,337.5,,,,,,,
1997-11-10 04:00:00,1027.6,1031.5,,2.7,1.8,7.0,94,2.1,315.0,,,,,,,
1997-11-10 05:00:00,1028.0,1031.9,,2.4,1.6,6.9,94,1.9,292.5,,,,,,,
1997-11-10 06:00:00,1028.6,1032.5,,2.0,1.3,6.7,95,1.9,292.5,,0.0,,,,,
1997-11-10 07:00:00,1029.0,1032.9,,3.1,2.3,7.2,94,1.8,292.5,0.4,0.12,,,,,
1997-11-10 08:00:00,1029.5,1033.3,,7.4,4.1,8.2,80,1.8,292.5,1.0,0.66,,,,,
1997-11-10 09:00:00,1029.4,1033.2,,10.9,4.7,8.5,66,1.3,292.5,1.0,1.24,,,,0.0,12.0
1997-11-10 10:00:00,1028.9,1032.6,,13.1,5.2,8.8,59,1.5,315.0,1.0,1.71,,,,,
1997-11-10 11:00:00,1028.0,1031.7,,15.1,6.4,9.6,56,0.3,247.5,1.0,2.0,,,,,
1997-11-10 12:00:00,1027.0,1030.7,,16.1,6.9,9.9,54,1.9,180.0,1.0,2.06,,,,,
1997-11-10 13:00:00,1026.0,1029.7,,16.4,6.5,9.7,52,2.4,202.5,1.0,1.94,,,,,
1997-11-10 14:00:00,1025.6,1029.3,,16.9,6.8,9.9,51,2.3,202.5,1.0,1.56,,,,,
1997-11-10 15:00:00,1025.4,1029.1,,16.8,6.8,9.9,52,1.8,202.5,1.0,0.99,,,,1.0,12.0
1997-11-10 16:00:00,1025.5,1029.2,,15.7,8.7,11.2,63,1.5,225.0,0.7,0.45,,,,,
1997-11-10 17:00:00,1025.6,1029.3,,14.3,8.7,11.2,69,1.9,135.0,,0.03,,,,,
1997-11-10 18:00:00,1025.6,1029.3,,12.9,8.3,10.9,74,2.1,135.0,,0.0,,,,,
1997-11-10 19:00:00,1025.7,1029.4,,12.4,8.4,11.0,77,2.0,135.0,,,,,,,
1997-11-10 20:00:00,1025.7,1029.4,,13.5,8.6,11.2,72,1.8,90.0,,,,,,,
1997-11-10 21:00:00,1025.3,1029.0,,13.6,8.9,11.4,73,1.4,90.0,,,,,,,
1997-11-10 22:00:00,1024.9,1028.6,,12.3,9.2,11.6,81,2.2,45.0,,,,,,,
1997-11-10 23:00:00,1024.4,1028.1,,12.1,9.2,11.6,82,1.7,45.0,,,,,,,
1997-11-11 00:00:00,1023.7,1027.5,,9.4,8.4,11.0,93,1.3,67.5,,,,,,,
