,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2012-08-23 01:00:00,1013.5,1016.7,,24.5,22.9,28.0,91,1.8,112.5,,,-999,-999,,,
2012-08-23 02:00:00,1013.5,1016.7,,23.7,22.9,27.8,95,1.6,112.5,,,-999,-999,,,
2012-08-23 03:00:00,1013.7,1016.9,,23.6,22.9,28.0,96,1.2,112.5,,,-999,-999,,,
2012-08-23 04:00:00,1013.7,1016.9,,23.8,23.6,29.2,99,1.7,112.5,,,-999,-999,,,
2012-08-23 05:00:00,1013.9,1017.1,,24.1,22.9,27.9,93,1.7,112.5,,0.0,-999,-999,,,
2012-08-23 06:00:00,1014.2,1017.4,,25.0,23.6,29.2,92,1.3,112.5,0.6,0.16,-999,-999,,,
2012-08-23 07:00:00,1014.5,1017.6,,26.8,23.7,29.3,83,1.5,157.5,1.0,0.75,-999,-999,,,
2012-08-23 08:00:00,1014.5,1017.6,,28.0,23.2,28.4,75,1.3,180.0,0.6,1.07,-999,-999,,,
2012-08-23 09:00:00,1014.6,1017.7,,28.8,23.0,28.1,71,1.5,180.0,0.3,1.22,-999,-999,,6.0,20.0
2012-08-23 10:00:00,1014.5,1017.6,,30.3,22.5,27.2,63,1.3,225.0,0.7,2.25,-999,-999,,,
2012-08-23 11:00:00,1014.1,1017.2,,30.8,23.2,28.4,64,0.7,202.5,0.4,1.83,-999,-999,,,
2012-08-23 12:00:00,1013.5,1016.6,,32.6,22.7,27.6,56,1.9,180.0,0.6,2.36,-999,-999,,,
2012-08-23 13:00:00,1013.1,1016.1,,34.4,22.5,27.2,50,2.2,180.0,0.9,2.9,-999,-999,,,
2012-08-23 14:00:00,1012.6,1015.6,,34.4,22.1,26.7,49,1.4,180.0,0.7,2.17,-999,-999,,,
2012-08-23 15:00:00,1012.5,1015.5,,35.0,20.9,24.8,44,3.3,180.0,0.8,2.15,-999,-999,,,
2012-08-23 16:00:00,1012.5,1015.6,,33.9,19.2,22.2,42,3.7,157.5,1.0,1.71,-999,-999,,,
2012-08-23 17:00:00,1012.9,1016.0,,33.0,19.9,23.2,46,3.6,202.5,1.0,1.03,-999,-999,,,
2012-08-23 18:00:00,1013.3,1016.4,,30.9,19.6,22.8,51,2.7,180.0,0.9,0.35,-999,-999,,,
2012-08-23 19:00:00,1014.2,1017.3,,29.6,20.5,24.1,58,3.0,180.0,0.0,0.01,-999,-999,,,
2012-08-23 20:00:00,1015.1,1018.2,,28.9,22.2,26.7,67,2.8,180.0,,,-999,-999,,,
2012-08-23 21:00:00,1015.6,1018.7,,27.8,23.2,28.4,76,2.1,202.5,,,-999,-999,,,
2012-08-23 22:00:00,1015.7,1018.8,,26.2,23.3,28.6,84,1.4,202.5,,,-999,-999,,,
2012-08-23 23:00:00,1015.5,1018.7,,25.5,23.7,29.4,90,2.0,157.5,,,-999,-999,,,
2012-08-24 00:00:00,1015.5,1018.7,,24.6,23.6,29.1,94,1.2,135.0,,,-999,-999,,,
