,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2008-03-24 01:00:00,1011.6,1015.4,0.0,7.7,4.7,8.5,81,3.3,45.0,,,,,,,
2008-03-24 02:00:00,1011.4,1015.2,,7.2,4.3,8.3,82,2.8,45.0,,,,,,,
2008-03-24 03:00:00,1010.4,1014.2,,7.1,4.8,8.6,85,2.9,67.5,,,,,,,
2008-03-24 04:00:00,1009.9,1013.7,,7.1,4.9,8.7,86,2.7,45.0,,,,,,,
2008-03-24 05:00:00,1009.7,1013.5,0.0,7.0,5.0,8.7,87,2.9,45.0,,,,,,,
2008-03-24 06:00:00,1009.6,1013.4,0.0,6.7,5.3,8.9,91,3.2,45.0,,0.0,,,,,
2008-03-24 07:00:00,1009.8,1013.6,0.0,6.7,5.2,8.8,90,1.8,22.5,,0.01,,,,,
2008-03-24 08:00:00,1009.1,1012.9,0.5,6.6,5.6,9.1,93,2.9,22.5,,0.07,,,,,
2008-03-24 09:00:00,1008.4,1012.2,0.5,6.6,5.7,9.2,94,3.1,67.5,,0.12,,,,10.0,2.0
2008-03-24 10:00:00,1007.5,1011.3,0.0,7.0,6.1,9.4,94,3.3,67.5,,0.18,,,,,
2008-03-24 11:00:00,1005.9,1009.7,0.5,7.6,6.7,9.8,94,4.6,67.5,,0.57,,,,,
2008-03-24 12:00:00,1005.1,1008.9,0.5,7.9,7.0,10.0,94,4.6,45.0,,0.42,,,,,
2008-03-24 13:00:00,1004.4,1008.2,1.5,7.9,7.1,10.1,95,2.5,45.0,,0.32,,,,,
2008-03-24 14:00:00,1002.5,1006.3,1.0,8.3,7.4,10.3,94,3.9,22.5,,0.73,,,,,
2008-03-24 15:00:00,1002.5,1006.3,0.0,8.6,7.5,10.4,93,3.4,45.0,,0.2,,,,10.0,10.0
2008-03-24 16:00:00,1003.3,1007.1,0.0,9.0,7.8,10.6,92,2.8,337.5,,0.15,,,,,
2008-03-24 17:00:00,1003.9,1007.7,0.0,8.7,7.0,10.0,89,4.2,337.5,,0.08,,,,,
2008-03-24 18:00:00,1004.7,1008.5,,9.2,7.6,10.4,90,0.7,112.5,,0.05,,,,,
2008-03-24 19:00:00,1005.7,1009.5,,8.1,7.2,10.2,94,0.7,247.5,,0.0,,,,,
2008-03-24 20:00:00,1006.7,1010.5,,6.4,5.8,9.2,96,0.8,270.0,,,,,,,
2008-03-24 21:00:00,1007.4,1011.2,,4.8,4.2,8.2,96,1.4,247.5,,,,,,,
2008-03-24 22:00:00,1007.8,1011.6,,5.1,4.7,8.5,97,1.4,247.5,,,,,,,
2008-03-24 23:00:00,1008.0,1011.8,,4.0,3.6,7.9,97,0.6,315.0,,,,,,,
2008-03-25 00:00:00,1008.3,1012.1,,5.1,4.7,8.5,97,0.9,112.5,,,,,,,
