,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1993-12-05 01:00:00,1012.4,1016.2,,3.2,0.3,6.2,81,2.1,247.5,,,,,,,
1993-12-05 02:00:00,1012.9,1016.7,,1.5,0.0,6.1,90,0.9,315.0,,,,,,,
1993-12-05 03:00:00,1013.1,1016.9,,1.1,-0.1,6.1,92,1.6,270.0,,,,,,,
1993-12-05 04:00:00,1013.6,1017.4,,0.9,-0.5,5.9,90,1.5,247.5,,,,,,,
1993-12-05 05:00:00,1013.9,1017.8,,0.1,-0.7,5.8,94,0.5,247.5,,,,,,,
1993-12-05 06:00:00,1014.5,1018.4,,-0.3,-1.0,5.7,95,2.1,292.5,,,,,,,
1993-12-05 07:00:00,1015.1,1019.0,,-0.3,-0.9,5.7,96,1.7,315.0,0.1,0.03,,,,,
1993-12-05 08:00:00,1015.8,1019.6,,3.0,0.4,6.3,83,0.4,225.0,0.7,0.44,,,,,
1993-12-05 09:00:00,1016.4,1020.2,,5.3,1.1,6.6,74,1.1,270.0,1.0,1.03,,,,2.0,20.0
1993-12-05 10:00:00,1016.0,1019.7,,8.5,0.8,6.5,58,2.1,292.5,1.0,1.5,,,,,
1993-12-05 11:00:00,1015.3,1019.0,,11.0,1.0,6.6,50,2.2,292.5,1.0,1.82,,,,,
1993-12-05 12:00:00,1014.4,1018.1,,11.7,-3.5,4.7,34,3.9,292.5,0.9,1.77,,,,,
1993-12-05 13:00:00,1014.0,1017.7,,12.2,-1.2,5.6,39,2.1,270.0,0.3,0.86,,,,,
1993-12-05 14:00:00,1013.7,1017.4,,13.1,-1.6,5.4,36,2.0,337.5,0.5,1.08,,,,,
1993-12-05 15:00:00,1013.6,1017.3,,12.8,-1.9,5.3,36,1.6,22.5,1.0,0.93,,,,2.0,20.0
1993-12-05 16:00:00,1014.5,1018.2,,9.9,1.8,7.0,57,1.9,67.5,1.0,0.38,,,,,
1993-12-05 17:00:00,1015.2,1019.0,,6.4,0.3,6.2,65,1.7,90.0,0.1,0.03,,,,,
1993-12-05 18:00:00,1016.2,1020.0,,5.1,1.2,6.7,76,2.0,67.5,,,,,,,
1993-12-05 19:00:00,1016.7,1020.5,,8.0,-0.3,6.0,56,3.8,67.5,,,,,,,
1993-12-05 20:00:00,1017.5,1021.3,,6.6,-0.4,5.9,61,2.9,45.0,,,,,,,
1993-12-05 21:00:00,1018.1,1021.9,,5.8,-1.1,5.6,61,2.7,67.5,,,,,,,
1993-12-05 22:00:00,1018.9,1022.7,,5.5,-1.6,5.4,60,3.5,67.5,,,,,,,
1993-12-05 23:00:00,1018.9,1022.7,,4.6,-1.8,5.4,63,3.0,22.5,,,,,,,
1993-12-06 00:00:00,1018.8,1022.6,,3.3,-2.0,5.3,68,2.1,22.5,,,,,,,
