,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2000-02-24 01:00:00,1009.4,1013.3,,-1.8,-5.3,4.1,77,2.6,292.5,,,,,,,
2000-02-24 02:00:00,1009.0,1012.9,,-0.7,-6.0,3.9,67,1.7,292.5,,,,,,,
2000-02-24 03:00:00,1008.4,1012.3,,-1.9,-6.1,3.9,73,1.8,292.5,,,,,,,
2000-02-24 04:00:00,1008.0,1011.9,,-2.6,-7.3,3.5,70,1.8,225.0,,,,,,,
2000-02-24 05:00:00,1008.0,1011.9,,-3.1,-7.6,3.5,71,2.1,247.5,,,,,,,
2000-02-24 06:00:00,1008.2,1012.1,,-3.0,-8.8,3.2,64,2.4,247.5,,0.0,,,,,
2000-02-24 07:00:00,1008.2,1012.1,,-2.6,-8.3,3.3,65,1.7,337.5,0.3,0.07,,,,,
2000-02-24 08:00:00,1008.6,1012.4,,1.0,-7.7,3.4,52,2.3,315.0,1.0,0.6,,,,,
2000-02-24 09:00:00,1008.9,1012.7,,3.8,-6.7,3.7,46,1.8,22.5,1.0,1.26,,,,0.0,15.0
2000-02-24 10:00:00,1008.3,1012.1,,5.6,-6.9,3.7,40,1.6,67.5,1.0,1.82,,,,,
2000-02-24 11:00:00,1007.6,1011.3,,6.9,-7.1,3.6,36,2.3,112.5,1.0,2.22,,,,,
2000-02-24 12:00:00,1006.5,1010.2,,7.7,-7.2,3.6,34,2.3,112.5,1.0,2.43,,,,,
2000-02-24 13:00:00,1005.0,1008.7,,9.4,-6.0,3.9,33,1.8,157.5,1.0,2.39,,,,,
2000-02-24 14:00:00,1004.2,1007.9,,9.4,-6.9,3.7,31,2.7,135.0,0.8,1.92,,,,,
2000-02-24 15:00:00,1004.4,1008.1,,7.5,-5.2,4.2,40,2.3,135.0,0.5,1.27,,,,10.0,18.0
2000-02-24 16:00:00,1005.9,1009.7,0.0,4.9,-3.6,4.7,54,5.2,45.0,,0.11,,,,,
2000-02-24 17:00:00,1007.1,1010.9,0.0,2.3,-0.4,5.9,82,3.1,67.5,,0.06,,,,,
2000-02-24 18:00:00,1008.4,1012.2,0.0,2.0,-1.1,5.6,80,3.4,22.5,,0.02,,,,,
2000-02-24 19:00:00,1009.3,1013.1,0.0,1.1,-1.8,5.4,81,2.2,45.0,,,,,,,
2000-02-24 20:00:00,1009.5,1013.4,,-0.4,-4.6,4.3,73,2.5,315.0,,,,,,,
2000-02-24 21:00:00,1010.1,1014.0,,-1.8,-5.8,4.0,74,2.1,315.0,,,,,,,
2000-02-24 22:00:00,1010.6,1014.5,,-1.2,-9.5,3.0,53,2.8,292.5,,,,,,,
2000-02-24 23:00:00,1011.2,1015.1,,-0.4,-11.4,2.6,43,4.3,270.0,,,,,,,
2000-02-25 00:00:00,1012.1,1016.0,,-0.7,-11.7,2.5,43,4.2,270.0,,,,,,,
