,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2004-10-20 01:00:00,1011.3,1014.9,1.5,15.1,14.8,16.8,98,0.7,0.0,,,,,,,
2004-10-20 02:00:00,1010.1,1013.7,1.0,16.1,15.9,18.1,99,1.8,67.5,,,,,,,
2004-10-20 03:00:00,1009.3,1012.9,1.5,16.4,16.2,18.4,99,2.5,45.0,,,,,,,
2004-10-20 04:00:00,1009.1,1012.7,2.0,16.6,16.3,18.5,98,1.8,45.0,,,,,,,
2004-10-20 05:00:00,1008.6,1012.2,6.5,16.9,16.6,18.9,98,2.9,22.5,,,,,,,
2004-10-20 06:00:00,1007.2,1010.8,3.0,16.5,16.2,18.4,98,4.2,22.5,,0.0,,,,,
2004-10-20 07:00:00,1008.0,1011.6,3.0,16.6,16.1,18.3,97,3.0,22.5,,0.02,,,,,
2004-10-20 08:00:00,1007.3,1010.9,4.5,16.8,16.3,18.5,97,2.8,0.0,,0.06,,,,,
2004-10-20 09:00:00,1006.7,1010.3,4.0,17.0,16.4,18.6,96,2.8,0.0,,0.09,,,,10.0,4.0
2004-10-20 10:00:00,1006.1,1009.7,2.0,17.0,16.4,18.6,96,0.9,337.5,,0.15,,,,,
2004-10-20 11:00:00,1005.2,1008.8,3.5,17.2,16.6,18.9,96,2.6,45.0,,0.24,,,,,
2004-10-20 12:00:00,1004.5,1008.1,4.5,16.6,16.1,18.3,97,1.1,292.5,,0.17,,,,,
2004-10-20 13:00:00,1003.8,1007.4,2.0,16.8,16.5,18.8,98,1.9,337.5,,0.18,,,,,
2004-10-20 14:00:00,1002.5,1006.1,1.0,16.3,16.0,18.2,98,2.6,22.5,,0.09,,,,,
2004-10-20 15:00:00,1001.7,1005.3,3.5,16.8,16.5,18.8,98,2.4,67.5,,0.08,,,,10.0,3.0
2004-10-20 16:00:00,999.4,1003.0,3.5,16.6,16.1,18.3,97,4.2,67.5,,0.06,,,,,
2004-10-20 17:00:00,997.7,1001.3,2.0,16.1,15.5,17.6,96,6.8,67.5,,0.02,,,,,
2004-10-20 18:00:00,996.6,1000.2,15.0,15.8,15.2,17.3,96,4.1,67.5,,0.0,,,,,
2004-10-20 19:00:00,993.2,996.8,14.5,15.8,15.2,17.3,96,7.0,45.0,,,,,,,
2004-10-20 20:00:00,992.7,996.3,22.5,16.0,15.4,17.5,96,7.0,67.5,,,,,,,
2004-10-20 21:00:00,990.5,994.0,9.0,16.6,16.0,18.2,96,6.3,67.5,,,,,,,
2004-10-20 22:00:00,988.2,991.7,3.5,20.8,20.5,24.1,98,3.7,67.5,,,,,,,
2004-10-20 23:00:00,987.9,991.4,26.5,17.3,16.5,18.8,95,4.5,315.0,,,,,,,
2004-10-21 00:00:00,988.1,991.6,2.0,18.5,18.0,20.6,97,2.2,0.0,,,,,,,
