,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
1995-01-29 01:00:00,1014.8,1018.7,,-0.2,-1.2,5.6,93,2.1,292.5,,,,,,,
1995-01-29 02:00:00,1014.7,1018.6,,-1.0,-1.9,5.3,93,1.5,270.0,,,,,,,
1995-01-29 03:00:00,1014.1,1018.0,,-0.9,-2.1,5.2,92,2.2,315.0,,,,,,,
1995-01-29 04:00:00,1013.7,1017.6,,-1.1,-2.4,5.1,91,1.5,292.5,,,,,,,
1995-01-29 05:00:00,1013.5,1017.4,,-2.4,-3.3,4.8,94,1.2,270.0,,,,,,,
1995-01-29 06:00:00,1013.6,1017.5,,-3.2,-4.2,4.5,93,1.3,270.0,,,,,,,
1995-01-29 07:00:00,1013.7,1017.6,,-3.2,-4.0,4.5,94,1.9,270.0,,0.01,,,,,
1995-01-29 08:00:00,1013.5,1017.4,,-0.5,-1.4,5.5,94,1.9,315.0,0.9,0.33,,,,,
1995-01-29 09:00:00,1013.5,1017.3,,3.1,-0.1,6.1,79,2.1,292.5,1.0,0.96,,,,0.0,6.0
1995-01-29 10:00:00,1013.0,1016.8,,5.0,-0.4,5.9,68,2.5,292.5,1.0,1.53,,,,,
1995-01-29 11:00:00,1011.9,1015.7,,6.8,-0.6,5.9,59,2.1,270.0,1.0,1.94,,,,,
1995-01-29 12:00:00,1010.3,1014.0,,8.8,-3.7,4.7,41,3.0,292.5,1.0,2.12,,,,,
1995-01-29 13:00:00,1009.0,1012.7,,9.5,-4.3,4.4,37,1.7,270.0,1.0,2.08,,,,,
1995-01-29 14:00:00,1008.4,1012.1,,9.6,-5.6,4.0,34,1.1,270.0,1.0,1.78,,,,,
1995-01-29 15:00:00,1008.1,1011.8,,9.5,-7.2,3.6,30,1.3,247.5,1.0,1.31,,,,0.0,15.0
1995-01-29 16:00:00,1007.7,1011.4,,9.2,-6.5,3.8,32,1.7,180.0,1.0,0.79,,,,,
1995-01-29 17:00:00,1007.6,1011.4,,5.7,-6.9,3.7,40,1.8,157.5,0.6,0.18,,,,,
1995-01-29 18:00:00,1007.7,1011.5,,2.5,-6.3,3.8,52,0.9,157.5,,0.0,,,,,
1995-01-29 19:00:00,1007.8,1011.6,,1.7,-5.2,4.2,60,2.0,112.5,,,,,,,
1995-01-29 20:00:00,1007.6,1011.4,,1.3,-4.9,4.3,63,1.1,67.5,,,,,,,
1995-01-29 21:00:00,1007.5,1011.3,,1.8,-4.1,4.5,65,1.5,45.0,,,,,,,
1995-01-29 22:00:00,1007.7,1011.5,,1.2,-4.8,4.3,64,1.2,315.0,,,,,,,
1995-01-29 23:00:00,1007.5,1011.3,,-0.3,-4.8,4.3,72,1.1,45.0,,,,,,,
1995-01-30 00:00:00,1007.5,1011.4,,-0.8,-3.6,4.7,81,2.1,315.0,,,,,,,
