,glp_hPa,slp_hPa,precip_mm,temp_C,dewtemp_C,vapor-pres_hPa,rh_percent,wspd_ms,wdir_deg,sunlit_h,rad-global_MJm-2,snowfall_cm,snowdepth_cm,weather_typ,cloudcover_x,visibility_km
2020-07-15 01:00:00,995.4,998.6,0.0,20.1,20.1,23.5,100,1.8,90.0,,,-999,-999,,,4.2
2020-07-15 02:00:00,995.5,998.7,0.5,20.1,20.1,23.5,100,0.7,90.0,,,-999,-999,,,6.75
2020-07-15 03:00:00,995.0,998.2,0.0,19.9,19.9,23.2,100,1.4,90.0,,,-999,-999,,,8.36
2020-07-15 04:00:00,995.2,998.4,0.0,19.7,19.7,23.0,100,0.9,45.0,,,-999,-999,,,5.51
2020-07-15 05:00:00,995.9,999.1,0.0,19.7,19.7,23.0,100,1.1,135.0,0.0,0.0,-999,-999,,,1.49
2020-07-15 06:00:00,996.3,999.5,0.0,19.7,19.7,23.0,100,1.2,135.0,0.0,0.04,-999,-999,,,1.5
2020-07-15 07:00:00,996.5,999.7,0.0,20.0,20.0,23.4,100,1.0,135.0,0.0,0.15,-999,-999,,,1.79
2020-07-15 08:00:00,997.0,1000.2,0.0,20.3,20.3,23.8,100,0.9,180.0,0.0,0.2,-999,-999,,,2.18
2020-07-15 09:00:00,997.2,1000.4,0.0,20.6,20.4,24.0,99,0.6,135.0,0.0,0.38,-999,-999,,,2.05
2020-07-15 10:00:00,997.4,1000.5,0.5,21.3,20.8,24.6,97,1.3,67.5,0.0,0.63,-999,-999,,,20.0
2020-07-15 11:00:00,997.9,1001.0,,21.9,20.2,23.7,90,1.4,112.5,0.0,0.72,-999,-999,,,20.0
2020-07-15 12:00:00,998.0,1001.1,0.0,22.2,19.8,23.0,86,1.8,135.0,0.0,0.98,-999,-999,,,20.0
2020-07-15 13:00:00,997.9,1001.1,0.0,21.0,19.8,23.1,93,2.6,135.0,0.0,0.84,-999,-999,,,16.5
2020-07-15 14:00:00,998.0,1001.1,0.0,21.8,19.4,22.5,86,3.1,112.5,0.0,0.77,-999,-999,,,20.0
2020-07-15 15:00:00,998.0,1001.1,,21.6,18.8,21.7,84,2.3,90.0,0.0,0.6,-999,-999,,,20.0
2020-07-15 16:00:00,998.4,1001.6,0.0,20.4,17.8,20.4,85,4.2,67.5,0.0,0.51,-999,-999,,,20.0
2020-07-15 17:00:00,998.7,1001.9,0.0,19.6,17.2,19.6,86,3.3,90.0,0.0,0.17,-999,-999,,,20.0
2020-07-15 18:00:00,999.2,1002.4,0.0,19.0,16.8,19.1,87,3.2,90.0,0.0,0.17,-999,-999,,,20.0
2020-07-15 19:00:00,999.8,1003.0,0.0,18.4,16.4,18.6,88,3.8,67.5,0.0,0.03,-999,-999,,,20.0
2020-07-15 20:00:00,1000.4,1003.6,0.0,18.1,16.3,18.5,89,3.8,67.5,,0.0,-999,-999,,,20.0
2020-07-15 21:00:00,1001.0,1004.2,0.0,17.4,16.6,18.9,95,3.9,67.5,,,-999,-999,,,4.76
2020-07-15 22:00:00,1001.5,1004.7,1.0,17.1,16.8,19.1,98,2.8,45.0,,,-999,-999,,,3.02
2020-07-15 23:00:00,1001.5,1004.7,0.5,17.0,16.9,19.2,99,2.2,45.0,,,-999,-999,,,1.96
2020-07-16 00:00:00,1001.5,1004.7,0.5,17.0,17.0,19.4,100,2.1,45.0,,,-999,-999,,,3.16
