month,maxTemp,minTemp,meanTemp,rainfall
1,-4.8,-11.1,,52.0
2,-3.3,-9.6,,40.0
3,1.9,-4.9,,36.0
4,12.6,3.2,,46.0
5,20.7,9.4,,48.0
6,23.6,12.6,,67.0
7,25.1,14.3,,72.0
8,24.3,13.3,,53.0
9,18.6,8.4,,49.0
10,11.0,3.1,,40.0
11,2.7,-2.5,,52.0
12,-1.8,-6.9,,50.0
