,Precipitation,Temperature
January,23.8,-14.7
February,25.1,-12.8
March,18.8,-12.4
April,18.7,-5.2
May,22.6,2.9
June,25.2,9.0
July,59.8,11.1
August,81.8,10.1
September,55.9,6.2
October,46.8,-0.9
November,32.2,-7.7
December,26.7,-12.7
