,Precipitation,Temperature
January,17.4,-14.8
February,12.6,-11.8
March,17.8,-5.1
April,33.9,3.6
May,39.9,10.6
June,85.5,15.1
July,79.4,17.7
August,52.3,16.4
September,38.8,10.9
October,23.7,3.6
November,19.2,-5.9
December,16.0,-13.1
