month,maxTemp,minTemp,meanTemp,rainfall
1,25.5,15.1,,85.1
2,25.7,15.3,,91.5
3,25.6,15.4,,127.5
4,25.3,15.7,,145.3
5,25.2,15.5,,97.3
6,25.2,14.4,,49.0
7,25.4,13.8,,21.5
8,26.1,14.6,,70.4
9,26.2,15.0,,110.6
10,25.8,15.0,,132.4
11,25.2,14.8,,140.0
12,25.3,14.9,,94.6
