,Precipitation,Temperature
January,42.2,-3.9
February,29.7,-3.4
March,33.3,0.2
April,39.9,4.0
May,77.4,8.1
June,69.9,11.8
July,58.9,13.7
August,68.4,13.3
September,51.2,9.4
October,57.0,5.4
November,65.2,0.3
December,47.3,-3.0
