,Precipitation,Temperature
January,0.8,-17.1
February,1.3,-11.6
March,3.0,-2.2
April,5.4,7.7
May,12.7,15.6
June,26.2,21.7
July,34.3,24.6
August,29.5,22.4
September,13.2,15.4
October,6.3,5.6
November,2.7,-5.5
December,1.6,-14.5
