,Precipitation,Temperature
January,6.8,-11.8
February,8.3,-8.4
March,16.3,-4.2
April,28.8,0.7
May,66.7,4.5
June,112.6,8.0
July,113.0,10.1
August,96.3,9.5
September,80.5,6.5
October,34.2,0.6
November,5.8,-5.9
December,3.4,-10.9
