,Precipitation,Temperature
January,141,25.1
February,136,23.9
March,112,22.4
April,154,18.9
May,109,15.4
June,72,12.6
July,55,11.9
August,75,13.8
September,79,15.4
October,121,18.4
November,105,21.3
December,132,23.7
