,Precipitation,Temperature
January,64.2,-4.7
February,45.6,-4.2
March,41.7,-0.6
April,48.3,4.3
May,71.7,9.9
June,85.9,13.9
July,92.9,16.3
August,103.3,14.6
September,75.1,10.0
October,88.4,4.5
November,82.0,0.2
December,69.6,-3.8
