,Precipitation,Temperature
January,32.0,-11.3
February,26.4,-11.2
March,22.2,-7.3
April,26.1,-1.7
May,45.0,4.2
June,67.2,9.9
July,103.9,13.2
August,68.9,11.1
September,52.4,6.0
October,43.3,-0.9
November,37.2,-6.8
December,36.8,-9.4
