,Precipitation,Temperature
January,40.8,-10.0
February,28.4,-9.6
March,27.3,-5.0
April,29.0,1.0
May,42.5,7.0
June,61.3,11.8
July,81.8,14.5
August,77.4,12.5
September,53.7,7.6
October,48.3,1.3
November,45.1,-4.1
December,43.0,-8.1
