,Precipitation,Temperature
January,45.7,-9.5
February,31.3,-9.6
March,28.5,-4.2
April,28.2,1.5
May,40.9,7.7
June,60.4,13.4
July,70.0,16.3
August,68.2,14.2
September,56.4,8.9
October,48.7,2.3
November,49.9,-3.6
December,45.3,-7.4
