,Precipitation,Temperature
January,70.1,-5.4
February,61.9,-5.9
March,59.8,-3.8
April,42.7,0.3
May,48.2,5.0
June,77.8,9.3
July,89.8,12.2
August,86.9,11.3
September,82.8,7.6
October,74.3,2.1
November,61.7,-2.3
December,70.1,-4.7
