,Precipitation,Temperature
January,43.7,-2.7
February,33.4,-2.6
March,28.7,0.6
April,35.7,5.7
May,50.1,10.9
June,66.6,14.8
July,75.7,17.1
August,69.3,16.0
September,54.7,11.4
October,61.3,6.1
November,56.7,1.9
December,52.1,-1.4
