month,maxTemp,minTemp,meanTemp,rainfall
1,10.1,0.8,,24.0
2,13.6,1.4,,16.3
3,18.3,4.2,,21.2
4,20.6,6.6,,39.3
5,25.0,10.6,,41.6
6,29.9,14.7,,28.7
7,33.0,17.3,,12.3
8,32.3,17.3,,19.6
9,27.8,13.8,,40.6
10,22.0,9.6,,43.3
11,14.9,4.4,,30.1
12,9.9,1.5,,24.3
