GeoPotHeight(m),WindSpd(m/s),WindDir(deg),Mark
26,0.6,230.0,SingularPoint
34,0.0,,SingularPoint
71,3.0,238.0,SingularPoint
316,9.0,247.0,SingularPoint
637,7.0,281.0,SingularPoint
927,5.0,284.0,
1245,7.0,275.0,
1558,10.0,274.0,SingularPoint
1887,14.0,278.0,
2247,19.0,288.0,
2591,24.0,294.0,
2908,30.0,305.0,
3223,31.0,308.0,SingularPoint
3538,29.0,308.0,
3855,33.0,304.0,
4181,33.0,304.0,
4520,33.0,302.0,
4873,33.0,296.0,
5212,32.0,295.0,
5551,30.0,293.0,
5882,30.0,291.0,SingularPoint
6216,29.0,294.0,
6555,29.0,292.0,
6908,29.0,290.0,
7263,30.0,289.0,
7620,30.0,289.0,
8002,32.0,287.0,
8370,34.0,285.0,
8738,32.0,286.0,
9125,33.0,288.0,
9492,34.0,289.0,
9830,35.0,290.0,
10184,37.0,289.0,SingularPoint
10549,41.0,286.0,
10870,47.0,284.0,SingularPoint
11103,46.0,284.0,
11457,41.0,274.0,SingularPoint
11830,46.0,277.0,
12220,49.0,277.0,
12608,51.0,281.0,SingularPoint
12977,50.0,284.0,
13304,52.0,281.0,
13556,54.0,280.0,極大風速面
13824,50.0,281.0,
14142,47.0,278.0,
14491,47.0,276.0,SingularPoint
14819,48.0,274.0,
15114,47.0,274.0,
15395,46.0,274.0,
15673,47.0,269.0,
15955,47.0,269.0,SingularPoint
16247,43.0,269.0,SingularPoint
16549,46.0,264.0,
16884,45.0,274.0,SingularPoint
17227,37.0,279.0,
17569,35.0,274.0,SingularPoint
17892,36.0,281.0,
18220,32.0,289.0,SingularPoint
18598,29.0,280.0,
18992,27.0,269.0,
19322,29.0,274.0,SingularPoint
19541,23.0,274.0,
19861,12.0,278.0,SingularPoint
20204,10.0,268.0,
20556,14.0,275.0,SingularPoint
20942,7.0,291.0,SingularPoint
21287,7.0,250.0,SingularPoint
21609,8.0,264.0,
21979,8.0,296.0,SingularPoint
22336,11.0,274.0,SingularPoint
22685,6.0,293.0,SingularPoint
22884,2.0,337.0,
23069,3.0,34.0,SingularPoint
23224,2.0,34.0,SingularPoint
23421,3.0,275.0,SingularPoint
23709,3.0,269.0,SingularPoint
23987,1.0,101.0,SingularPoint
24352,2.0,252.0,SingularPoint
24588,3.0,249.0,SingularPoint
24889,3.0,29.0,SingularPoint
25200,1.0,112.0,SingularPoint
25335,3.0,274.0,SingularPoint
25641,5.0,294.0,
25784,2.0,290.0,SingularPoint
25992,3.0,205.0,SingularPoint
26399,2.0,280.0,SingularPoint
26796,1.0,77.0,SingularPoint
27045,3.0,22.0,SingularPoint
27448,5.0,32.0,
27884,6.0,61.0,SingularPoint
28304,6.0,40.0,SingularPoint
28720,10.0,58.0,
29158,10.0,62.0,SingularPoint
29578,5.0,106.0,SingularPoint
30023,6.0,98.0,
30129,4.0,98.0,SingularPoint
