GeoPotHeight(m),Temp(C),RH(%),Mark
26,6.9,38.0,SingularPoint
28,7.4,36.0,
31,7.8,35.0,
727,1.7,43.0,
944,-0.1,43.0,
1157,-1.7,42.0,SingularPoint
1244,-0.9,34.0,
1508,-2.1,37.0,SingularPoint
1756,-3.9,39.0,
1922,-5.2,40.0,
2211,-7.2,47.0,SingularPoint
2519,-9.8,62.0,SingularPoint
2705,-10.4,28.0,
2802,-11.2,20.0,SingularPoint
3103,-13.2,10.0,
3377,-14.0,7.0,SingularPoint
3472,-13.7,6.0,
3559,-14.2,16.0,SingularPoint
3629,-14.9,25.0,
3933,-17.5,37.0,
3966,-17.6,37.0,SingularPoint
4005,-17.5,20.0,SingularPoint
4079,-18.0,34.0,
4119,-18.1,32.0,
4170,-18.3,42.0,SingularPoint
5002,-24.6,40.0,
5444,-27.4,29.0,SingularPoint
6039,-32.7,30.0,
6283,-35.0,24.0,
6591,-36.8,11.0,
6794,-38.3,11.0,
7036,-40.0,14.0,SingularPoint
7269,-40.5,,
7981,-44.3,,
8184,-45.0,,
8385,-45.1,,
8659,-46.7,,
8869,-47.6,,
9219,-48.2,,
10142,-50.5,,
10487,-51.4,,圏界面
10607,-50.9,,
10939,-51.7,,
11103,-49.4,,SingularPoint
11270,-48.2,,
11578,-47.0,,
11694,-46.9,,
12009,-46.9,,
12451,-47.9,,SingularPoint
13021,-49.0,,
13241,-50.3,,
13517,-50.4,,
13802,-51.5,,
13977,-51.0,,
14400,-52.6,,
14767,-53.0,,
15191,-52.3,,
15361,-53.1,,SingularPoint
15869,-52.1,,
16014,-51.4,,SingularPoint
16427,-53.0,,SingularPoint
17536,-56.3,,SingularPoint
17697,-53.8,,
17913,-53.7,,SingularPoint
18636,-58.5,,
19015,-61.5,,圏界面
19422,-62.3,,
19717,-62.5,,SingularPoint
20112,-58.4,,
20402,-56.7,,
20527,-56.6,,SingularPoint
21135,-57.8,,
21321,-57.5,,
21643,-58.5,,SingularPoint
21750,-56.3,,
21987,-55.2,,SingularPoint
22806,-59.1,,SingularPoint
22972,-55.7,,
23167,-53.9,,SingularPoint
23948,-56.3,,
24643,-56.1,,
25048,-55.6,,SingularPoint
26007,-54.3,,
27216,-51.7,,
28396,-51.7,,
29361,-50.5,,SingularPoint
30201,-47.0,,
30894,-47.7,,
31828,-46.2,,SingularPoint
33405,-41.1,,
34254,-41.7,,
34491,-40.8,,SingularPoint
